,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
1,Mike Trout,29,Los Angeles Angels,LAA,36,146,117,23,39,8,1,8,18,2,0,27,41,0.333,0.466,0.624,1.09,194,73,0,2,0,0,5,0.7466,1,109
2,Byron Buxton,27,Minnesota Twins,MIN,61,254,235,50,72,23,0,19,32,9,1,13,62,0.306,0.358,0.647,1.005,171,152,0,6,0,0,0,0.7047,2,179
3,Shohei Ohtani,26,Los Angeles Angels,LAA,155,639,537,103,138,26,8,46,100,26,10,96,189,0.257,0.372,0.592,0.965,157,318,7,4,0,2,20,0.6995,3,447
4,Bryce Harper,28,Philadelphia Phillies,PHI,141,599,488,101,151,42,1,35,84,13,3,100,134,0.309,0.429,0.615,1.044,179,300,12,5,2,4,14,0.6962,4,417
5,Fernando Tatis Jr.,22,San Diego Padres,SDP,130,546,478,99,135,31,0,42,97,25,4,62,153,0.282,0.364,0.611,0.975,166,292,5,2,0,4,6,0.6923,5,378
6,Ronald Acuna Jr.,23,Atlanta Braves,ATL,82,360,297,72,84,19,1,24,52,17,6,49,85,0.283,0.394,0.596,0.99,158,177,0,9,0,5,2,0.6889,6,248
7,Brandon Belt,33,San Francisco Giants,SFG,97,381,325,65,89,14,2,29,59,3,2,48,103,0.274,0.378,0.597,0.975,160,194,9,7,0,1,3,0.6404,7,244
8,Juan Soto,22,Washington Nationals,WSN,151,654,502,111,157,20,2,29,95,9,7,145,93,0.313,0.465,0.534,0.999,175,268,23,2,0,5,23,0.6376,8,417
9,Vladimir Guerrero Jr.,22,Toronto Blue Jays,TOR,161,698,604,123,188,29,1,48,111,4,1,86,110,0.311,0.401,0.601,1.002,167,363,20,6,0,2,7,0.6375,9,445
10,Joey Votto,37,Cinncinnati Reds,CIN,129,533,448,73,119,23,1,36,99,1,0,77,127,0.266,0.375,0.563,0.938,139,252,7,4,0,4,6,0.6248,10,333
11,José Ramírez,28,Cleveland Indians,CLE,152,636,552,111,147,32,5,36,103,27,4,72,87,0.266,0.355,0.538,0.893,142,297,13,7,0,5,10,0.6226,11,396
12,Frank Schwindel,29,Toronto Blue Jays,TOT,64,259,242,44,79,20,1,14,43,2,1,16,41,0.326,0.371,0.591,0.962,156,143,4,1,0,0,2,0.6139,12,159
13,Kyle Schwarber,28,Toronto Blue Jays,TOT,113,471,399,76,106,19,0,32,71,1,1,64,127,0.266,0.374,0.554,0.928,149,221,4,6,0,2,1,0.6115,13,288
14,Kyle Tucker,24,Houston Astros,HOU,140,567,506,83,149,37,3,30,92,14,2,53,90,0.294,0.359,0.557,0.917,147,282,10,1,0,5,5,0.6049,14,343
15,Tyler O'Neill,26,St. Louis Cardinals,STL,138,537,482,89,138,26,2,34,80,15,4,38,168,0.286,0.352,0.56,0.912,148,270,8,13,0,4,0,0.6034,15,324
16,Max Muncy,30,Los Angeles Dodgers,LAD,144,592,497,95,124,26,2,36,94,2,1,83,120,0.249,0.368,0.527,0.895,135,262,7,11,0,1,5,0.5997,16,355
17,George Springer,31,Toronto Blue Jays,TOR,78,342,299,59,79,19,1,22,50,4,1,37,79,0.264,0.352,0.555,0.907,141,166,6,4,0,1,1,0.5994,17,205
18,Luis Robert Jr.,23,Chicago White Sox,CHW,68,296,275,42,93,22,1,13,43,6,1,14,61,0.338,0.378,0.567,0.946,154,156,4,5,0,2,1,0.5980,18,177
19,Cedric Mullins,26,Baltimore Orioles,BAL,159,675,602,91,175,37,5,30,59,30,8,59,125,0.291,0.36,0.518,0.878,137,312,2,8,1,4,3,0.5956,19,402
20,Matt Olson,27,Oakland Athletics,OAK,156,673,565,101,153,35,0,39,111,4,1,88,113,0.271,0.371,0.54,0.911,153,305,17,9,0,11,12,0.5944,20,400
21,Brandon Lowe,26,Tampa Bay Rays,TBR,149,615,535,97,132,31,0,39,99,7,1,68,167,0.247,0.34,0.523,0.863,140,280,2,9,0,3,4,0.5935,21,365
22,AJ Pollock,33,Los Angeles Dodgers,LAD,117,422,384,53,114,27,1,21,69,9,1,30,80,0.297,0.355,0.536,0.892,134,206,4,6,0,2,4,0.5924,22,250
23,Nick Castellanos,29,Cinncinnati Reds,CIN,138,585,531,95,164,38,1,34,100,3,1,41,121,0.309,0.362,0.576,0.939,138,306,16,7,0,6,5,0.5897,23,345
24,Jesse Winker,27,Cinncinnati Reds,CIN,110,485,423,77,129,32,1,24,71,1,0,53,75,0.305,0.394,0.556,0.949,143,235,14,9,0,0,1,0.5876,24,285
25,Marcus Semien,30,Toronto Blue Jays,TOR,162,724,652,115,173,39,2,45,102,15,1,66,146,0.265,0.334,0.538,0.873,131,351,9,3,0,3,0,0.5870,25,425
26,Mike Zunino,30,Tampa Bay Rays,TBR,109,375,333,64,72,11,2,33,62,0,0,34,132,0.216,0.301,0.559,0.86,136,186,7,7,0,1,0,0.5867,27,220
