,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
27,Yasmani Grandal,32,Chicago White Sox,CHW,93,375,279,60,67,9,0,23,62,0,0,87,82,0.24,0.42,0.52,0.939,155,145,15,3,1,5,0,0.5867,26,220
28,Starling Marte,32,Toronto Blue Jays,TOT,120,526,467,89,145,27,3,12,55,47,5,43,99,0.31,0.383,0.458,0.841,132,214,6,13,1,2,2,0.5856,28,308
29,Trea Turner,28,Toronto Blue Jays,TOT,148,646,595,107,195,34,3,28,77,32,5,41,110,0.328,0.375,0.536,0.911,145,319,18,6,0,4,2,0.5836,30,377
30,Bryan Reynolds,26,Pittsburgh Pirates,PIT,159,646,559,93,169,35,8,24,90,5,2,75,119,0.302,0.39,0.522,0.912,145,292,10,8,0,4,9,0.5836,29,377
31,Aaron Judge,29,New York Yankees,NYY,148,633,550,89,158,24,0,39,98,6,1,75,158,0.287,0.373,0.544,0.916,149,299,16,3,0,5,2,0.5814,31,368
32,Freddie Freeman,31,Atlanta Braves,ATL,159,695,600,120,180,25,2,31,83,8,3,85,107,0.3,0.393,0.503,0.896,136,302,11,8,0,2,15,0.5813,32,404
33,Brandon Crawford,34,San Francisco Giants,SFG,138,549,483,79,144,30,3,24,90,11,3,56,105,0.298,0.373,0.522,0.895,141,252,8,5,0,5,6,0.5811,33,319
34,Darin Ruf,34,San Francisco Giants,SFG,117,312,262,41,71,13,2,16,43,2,0,46,87,0.271,0.385,0.519,0.904,143,136,8,3,0,1,2,0.5801,34,181
35,C.J. Cron,31,Colorado Rockies,COL,142,547,470,70,132,31,1,28,92,1,0,60,117,0.281,0.375,0.53,0.905,129,249,11,13,0,4,3,0.5759,35,315
36,Rafael Devers,24,Boston Red Sox,BOS,156,664,591,101,165,37,1,38,113,5,5,62,143,0.279,0.352,0.538,0.89,134,318,13,7,0,4,7,0.5738,36,381
37,Rhys Hoskins,28,Philadelphia Phillies,PHI,107,443,389,64,96,29,0,27,71,3,2,47,108,0.247,0.334,0.53,0.864,129,206,7,5,0,2,0,0.5688,37,252
38,Joey Gallo,27,Toronto Blue Jays,TOT,153,616,498,90,99,13,1,38,77,6,0,111,213,0.199,0.351,0.458,0.808,121,228,6,6,0,1,5,0.5682,38,350
39,Corey Seager,27,Los Angeles Dodgers,LAD,95,409,353,54,108,22,3,16,57,1,1,48,66,0.306,0.394,0.521,0.915,142,184,8,5,0,3,2,0.5648,39,231
40,Adam Engel,29,Chicago White Sox,CHW,39,140,123,21,31,9,0,7,18,7,1,11,31,0.252,0.336,0.496,0.832,123,61,4,5,0,1,0,0.5643,40,79
41,Ketel Marte,27,Arizona Diamondbacks,ARI,90,374,340,52,108,29,1,14,50,2,0,31,60,0.318,0.377,0.532,0.909,143,181,8,2,0,1,3,0.5642,41,211
42,Mitch Garver,30,Minnesota Twins,MIN,68,243,207,29,53,15,0,13,34,1,1,31,71,0.256,0.358,0.517,0.875,139,107,4,3,0,2,0,0.5638,42,137
43,Teoscar Hernández,28,Toronto Blue Jays,TOR,143,595,550,92,163,29,0,32,116,12,4,36,148,0.296,0.346,0.524,0.87,131,288,5,7,0,2,1,0.5630,43,335
44,Paul Goldschmidt,33,St. Louis Cardinals,STL,158,679,603,102,177,36,2,31,99,12,0,67,136,0.294,0.365,0.514,0.879,141,310,13,4,0,5,2,0.5626,44,382
45,Mookie Betts,28,Los Angeles Dodgers,LAD,122,550,466,93,123,29,3,23,58,10,5,68,86,0.264,0.367,0.487,0.854,126,227,5,11,0,5,2,0.5600,45,308
46,Adalberto Mondesí,25,Kansas City Royals,KCR,35,136,126,19,29,8,1,6,17,15,1,6,43,0.23,0.271,0.452,0.723,92,57,2,1,3,0,0,0.5588,46,76
47,Salvador Pérez,31,Kansas City Royals,KCR,161,665,620,88,169,24,0,48,121,1,0,28,170,0.273,0.316,0.544,0.859,128,337,14,13,0,4,4,0.5549,47,369
48,Patrick Wisdom,29,Chicago Cubs,CHC,106,375,338,54,78,13,0,28,61,4,1,32,153,0.231,0.305,0.518,0.823,118,175,7,4,0,0,1,0.5547,48,208
49,Austin Riley,24,Atlanta Braves,ATL,160,662,590,91,179,33,1,33,107,0,1,52,168,0.303,0.367,0.531,0.898,135,313,11,12,0,8,2,0.5544,49,367
50,Yordan Álvarez,24,Houston Astros,HOU,144,598,537,92,149,35,1,33,104,1,0,50,145,0.277,0.346,0.531,0.877,136,285,16,8,0,3,3,0.5535,50,331
51,Will Smith,26,Los Angeles Dodgers,LAD,130,501,414,71,107,19,2,25,76,3,0,58,101,0.258,0.365,0.495,0.86,127,205,11,18,0,11,4,0.5529,51,277
52,Pete Alonso,26,New York Mets,NYM,152,637,561,81,147,27,3,37,94,3,0,60,127,0.262,0.344,0.519,0.863,133,291,20,12,0,4,6,0.5526,52,352
53,Jared Walsh,27,Los Angeles Angels,LAA,144,585,530,70,147,34,1,29,98,2,1,48,152,0.277,0.34,0.509,0.85,127,270,7,4,0,3,6,0.5504,53,322
54,Sam Hilliard,27,Colorado Rockies,COL,81,238,214,32,46,7,2,14,34,5,0,23,87,0.215,0.294,0.463,0.757,90,99,0,1,0,0,3,0.5504,54,131
55,Franmil Reyes,25,Cleveland Indians,CLE,115,466,418,57,106,18,2,30,85,4,1,43,149,0.254,0.324,0.522,0.846,128,218,13,2,0,3,3,0.5494,55,256
56,Kris Bryant,29,Toronto Blue Jays,TOT,144,586,513,86,136,32,2,25,73,10,2,62,135,0.265,0.353,0.481,0.835,124,247,9,9,0,2,4,0.5478,56,321
57,Manny Machado,28,San Diego Padres,SDP,153,640,564,92,157,31,2,28,106,12,3,63,102,0.278,0.347,0.489,0.836,131,276,10,2,0,11,10,0.5469,57,350
58,Ozzie Albies,24,Atlanta Braves,ATL,156,686,629,103,163,40,7,30,106,20,4,47,128,0.259,0.31,0.488,0.799,108,307,4,3,0,7,2,0.5408,58,371
59,Trevor Story,28,Colorado Rockies,COL,142,595,526,88,132,34,5,24,75,20,6,53,139,0.251,0.329,0.471,0.801,102,248,7,11,0,5,2,0.5395,59,321
60,Jorge Polanco,27,Minnesota Twins,MIN,152,644,588,97,158,35,2,33,98,11,6,45,118,0.269,0.323,0.503,0.826,125,296,4,5,0,6,0,0.5388,60,347
61,J.D. Martinez,33,Boston Red Sox,BOS,148,634,570,92,163,42,3,28,99,0,0,55,150,0.286,0.349,0.518,0.867,128,295,18,3,0,5,6,0.5379,61,341
62,Buster Posey,34,San Francisco Giants,SFG,113,454,395,68,120,23,0,18,56,0,0,56,87,0.304,0.39,0.499,0.889,140,197,15,1,0,2,5,0.5374,62,244
63,Bo Bichette,23,Toronto Blue Jays,TOR,159,690,640,121,191,30,1,29,102,25,1,40,137,0.298,0.343,0.484,0.828,121,310,10,6,0,4,0,0.5362,63,370
64,Jake Rogers,26,Detroit Tigers,DET,38,127,113,17,27,5,3,6,17,1,0,11,46,0.239,0.306,0.496,0.802,119,56,0,0,3,0,0,0.5354,64,68
65,Nelson Cruz,40,Toronto Blue Jays,TOT,140,584,513,79,136,21,1,32,86,3,0,51,126,0.265,0.334,0.497,0.832,129,255,14,7,0,9,10,0.5342,65,312
66,Jesús Sánchez,23,Miami Marlins,MIA,64,251,227,27,57,8,2,14,36,0,1,20,78,0.251,0.319,0.489,0.808,115,111,2,3,0,1,3,0.5339,66,134
67,Javier Báez,28,Toronto Blue Jays,TOT,138,547,502,80,133,18,2,31,87,18,5,28,184,0.265,0.319,0.494,0.813,117,248,12,13,0,3,2,0.5338,67,292
68,LaMonte Wade Jr.,27,San Francisco Giants,SFG,109,381,336,52,85,17,3,18,56,6,1,33,89,0.253,0.326,0.482,0.808,117,162,3,5,4,3,1,0.5328,68,203
69,Xander Bogaerts,28,Boston Red Sox,BOS,144,603,529,90,156,34,1,23,79,5,1,62,113,0.295,0.37,0.493,0.863,129,261,13,5,0,7,2,0.5323,69,321
70,Bobby Dalbec,26,Boston Red Sox,BOS,133,453,417,50,100,21,5,25,78,2,0,28,156,0.24,0.298,0.494,0.792,107,206,3,7,0,1,1,0.5320,70,241
71,Giancarlo Stanton,31,New York Yankees,NYY,139,579,510,64,139,19,0,35,97,0,0,63,157,0.273,0.354,0.516,0.87,136,263,22,3,0,3,1,0.5320,71,308
72,José Altuve,31,Houston Astros,HOU,146,678,601,117,167,32,1,31,83,5,3,66,91,0.278,0.35,0.489,0.839,127,294,9,4,1,6,3,0.5310,72,360
73,Seth Brown,28,Oakland Athletics,OAK,111,307,281,43,60,13,1,20,48,4,1,23,89,0.214,0.274,0.48,0.754,107,135,1,1,0,2,2,0.5309,73,163
74,Jonathan India,24,Cinncinnati Reds,CIN,150,631,532,98,143,34,2,21,69,12,3,71,141,0.269,0.376,0.459,0.835,116,244,13,23,1,4,1,0.5309,74,335
75,Connor Joe,28,Colorado Rockies,COL,63,211,179,23,51,9,0,8,35,0,0,26,41,0.285,0.379,0.469,0.848,116,84,1,3,0,3,0,0.5308,75,112
76,Gavin Sheets,25,Chicago White Sox,CHW,54,179,160,23,40,8,0,11,34,0,0,16,40,0.25,0.324,0.506,0.83,122,81,4,2,0,1,0,0.5307,76,95
77,Avisaíl García,30,Milwaukee Brewers,MIL,135,515,461,68,121,18,0,29,86,8,4,38,121,0.262,0.33,0.49,0.82,119,226,12,11,0,5,5,0.5282,77,272
78,Randy Arozarena,26,Tampa Bay Rays,TBR,141,604,529,94,145,32,3,20,69,20,10,56,170,0.274,0.356,0.459,0.815,129,243,9,14,0,5,4,0.5265,78,318
79,Evan Longoria,35,San Francisco Giants,SFG,81,291,253,45,66,17,0,13,46,1,1,35,68,0.261,0.351,0.482,0.833,124,122,9,1,0,2,4,0.5258,79,153
80,Mike Yastrzemski,30,San Francisco Giants,SFG,139,532,468,75,105,28,3,25,71,4,0,51,131,0.224,0.311,0.457,0.768,106,214,3,9,1,3,4,0.5244,80,279
81,Rafael Ortega,30,Chicago Cubs,CHC,103,330,296,44,86,14,2,11,33,12,6,30,70,0.291,0.36,0.463,0.823,121,137,3,2,2,0,1,0.5242,81,173
82,Jordan Luplow,27,Toronto Blue Jays,TOT,61,193,163,23,33,8,0,11,28,1,2,28,57,0.202,0.326,0.454,0.78,115,74,2,2,0,0,0,0.5233,82,101
83,Hunter Renfroe,29,Boston Red Sox,BOS,144,572,521,89,135,33,0,31,96,1,2,44,130,0.259,0.315,0.501,0.816,114,261,6,1,0,6,0,0.5227,84,299
84,Thairo Estrada,25,San Francisco Giants,SFG,52,132,121,19,33,4,0,7,22,1,0,9,23,0.273,0.333,0.479,0.813,118,58,2,2,0,0,1,0.5227,83,69
85,Adam Duvall,32,Toronto Blue Jays,TOT,146,555,513,67,117,17,2,38,113,5,0,35,174,0.228,0.281,0.491,0.772,102,252,7,4,0,3,1,0.5225,85,290
86,Carlos Correa,26,Houston Astros,HOU,148,640,555,104,155,34,1,26,92,0,0,75,116,0.279,0.366,0.485,0.85,131,269,16,4,0,6,2,0.5219,86,334
87,Willy Adames,25,Toronto Blue Jays,TOT,140,555,497,77,130,32,1,25,73,5,4,57,156,0.262,0.337,0.481,0.818,121,239,9,0,0,1,1,0.5207,87,289
88,Chris Taylor,30,Los Angeles Dodgers,LAD,148,582,507,92,129,25,4,20,73,13,1,63,167,0.254,0.344,0.438,0.782,107,222,5,8,1,3,2,0.5189,88,302
89,Harrison Bader,27,St. Louis Cardinals,STL,103,401,367,45,98,21,1,16,50,9,4,27,85,0.267,0.324,0.46,0.785,114,169,4,5,0,2,6,0.5187,89,208
90,Robbie Grossman,31,Detroit Tigers,DET,156,671,557,88,133,23,3,23,67,20,5,98,155,0.239,0.357,0.415,0.772,115,231,8,8,2,6,3,0.5171,90,347
91,Brett Phillips,27,Tampa Bay Rays,TBR,118,292,253,50,52,9,4,13,44,14,3,33,113,0.206,0.3,0.427,0.727,103,108,3,2,2,2,0,0.5171,91,151
92,Andrew McCutchen,34,Philadelphia Phillies,PHI,144,574,482,78,107,24,1,27,80,6,1,81,132,0.222,0.334,0.444,0.778,109,214,10,4,0,7,2,0.5157,92,296
93,Brandon Nimmo,28,New York Mets,NYM,92,386,325,51,95,17,3,8,28,5,4,54,79,0.292,0.401,0.437,0.838,131,142,3,5,2,0,0,0.5155,93,199
94,Justin Turner,36,Los Angeles Dodgers,LAD,151,612,533,87,148,22,0,27,87,3,0,61,98,0.278,0.361,0.471,0.832,120,251,12,12,0,6,0,0.5147,94,315
95,Brad Miller,31,Philadelphia Phillies,PHI,140,377,331,53,75,9,3,20,49,3,0,45,112,0.227,0.321,0.453,0.774,107,150,7,1,0,0,2,0.5146,95,194
96,Nolan Arenado,30,St. Louis Cardinals,STL,157,653,593,81,151,34,3,34,105,2,0,50,96,0.255,0.312,0.494,0.807,119,293,20,3,0,7,8,0.5145,96,336
97,Mitch Haniger,30,Seattle Mariners,SEA,157,691,620,110,157,23,2,39,100,1,0,54,169,0.253,0.318,0.485,0.804,122,301,12,9,0,8,2,0.5137,97,355
98,Eduardo Escobar,32,Toronto Blue Jays,TOT,146,599,549,77,139,26,5,28,90,1,0,48,124,0.253,0.314,0.472,0.786,109,259,3,1,0,1,1,0.5125,98,307
99,J.T. Realmuto,30,Philadelphia Phillies,PHI,134,537,476,64,125,25,4,17,73,13,3,48,129,0.263,0.343,0.439,0.782,110,209,8,11,0,2,5,0.5121,99,275
100,Garrett Cooper,30,Miami Marlins,MIA,71,250,215,30,61,10,1,9,33,1,1,30,68,0.284,0.38,0.465,0.845,128,100,6,4,0,1,0,0.5120,100,128
101,Steven Duggar,27,San Francisco Giants,SFG,107,297,268,45,69,14,5,8,35,7,0,27,88,0.257,0.33,0.437,0.767,107,117,4,2,0,0,3,0.5118,101,152
102,Austin Meadows,26,Tampa Bay Rays,TBR,142,591,518,79,121,29,3,27,106,4,3,59,122,0.234,0.315,0.458,0.772,115,237,4,6,0,8,3,0.5110,102,302
103,Austin Slater,28,San Francisco Giants,SFG,129,306,274,39,66,12,1,12,32,15,2,28,84,0.241,0.32,0.423,0.744,101,116,7,4,0,0,2,0.5098,103,156
104,Akil Baddoo,22,Detroit Tigers,DET,124,461,413,60,107,20,7,13,55,18,4,45,122,0.259,0.33,0.436,0.766,112,180,5,0,0,3,1,0.5098,104,235
105,Andrew Young,27,Arizona Diamondbacks,ARI,58,104,91,13,19,7,0,6,15,0,0,6,45,0.209,0.298,0.484,0.782,107,44,3,6,0,1,0,0.5096,105,53
106,Tyrone Taylor,27,Milwaukee Brewers,MIL,93,271,243,33,60,9,3,12,43,6,1,20,59,0.247,0.321,0.457,0.778,108,111,6,7,0,1,1,0.5092,106,138
107,Jason Castro,34,Houston Astros,HOU,66,179,149,22,35,7,0,8,21,0,0,25,54,0.235,0.356,0.443,0.799,118,66,4,3,2,0,1,0.5084,107,91
108,Miguel Sanó,28,Minnesota Twins,MIN,135,532,470,68,105,24,0,30,75,2,1,59,183,0.223,0.312,0.466,0.778,112,219,13,2,0,1,2,0.5075,108,270
109,Luis Urías,24,Milwaukee Brewers,MIL,150,570,490,77,122,25,1,23,75,5,1,63,116,0.249,0.345,0.445,0.789,112,218,9,10,1,3,3,0.5070,109,289
110,Tyler Naquin,30,Cinncinnati Reds,CIN,127,454,411,52,111,24,2,19,70,5,3,35,106,0.27,0.333,0.477,0.809,107,196,9,5,0,3,1,0.5066,110,230
111,Josh Donaldson,35,Minnesota Twins,MIN,135,543,457,73,113,26,0,26,72,0,0,74,114,0.247,0.352,0.475,0.827,127,217,22,4,0,8,2,0.5064,111,275
112,Kolten Wong,30,Milwaukee Brewers,MIL,116,492,445,70,121,32,2,14,50,12,5,31,83,0.272,0.335,0.447,0.783,110,199,2,13,0,3,1,0.5061,112,249
113,Jake Cronenworth,27,San Diego Padres,SDP,152,643,567,94,151,33,7,21,71,4,3,55,90,0.266,0.34,0.46,0.8,122,261,8,10,3,3,6,0.5054,113,325
114,Ryan Mountcastle,24,Baltimore Orioles,BAL,144,586,534,77,136,23,1,33,89,4,3,41,161,0.255,0.309,0.487,0.796,114,260,12,4,0,7,2,0.5051,114,296
115,Daulton Varsho,24,Arizona Diamondbacks,ARI,95,315,284,41,70,17,2,11,38,6,0,30,67,0.246,0.318,0.437,0.755,102,124,4,0,1,0,3,0.5048,115,159
116,Enrique Hernández,29,Boston Red Sox,BOS,134,585,508,84,127,35,3,20,60,1,0,61,110,0.25,0.337,0.449,0.786,108,228,4,9,0,7,0,0.5043,116,295
117,Max Kepler,28,Minnesota Twins,MIN,121,490,426,61,90,21,4,19,54,10,0,54,96,0.211,0.306,0.413,0.719,98,176,2,6,0,4,3,0.5041,117,247
118,Tony Kemp,29,Oakland Athletics,OAK,131,397,330,54,92,16,3,8,37,8,2,52,51,0.279,0.382,0.418,0.8,126,138,2,6,4,5,0,0.5038,118,200
119,Wander Franco,20,Tampa Bay Rays,TBR,70,308,281,53,81,18,5,7,39,2,1,24,37,0.288,0.347,0.463,0.81,127,130,2,2,0,1,0,0.5032,119,155
120,Tim Anderson,28,Chicago White Sox,CHW,123,551,527,94,163,29,2,17,61,18,7,22,119,0.309,0.338,0.469,0.806,118,247,5,1,0,1,1,0.5027,120,277
121,Ramón Laureano,26,Oakland Athletics,OAK,88,378,341,43,84,21,2,14,39,12,5,27,98,0.246,0.317,0.443,0.76,111,151,4,9,0,1,0,0.5026,121,190
122,Danny Jansen,26,Toronto Blue Jays,TOR,70,205,184,32,41,13,0,11,28,0,0,17,44,0.223,0.299,0.473,0.772,105,87,4,3,1,0,0,0.5024,122,103
123,J.D. Davis,28,New York Mets,NYM,73,211,179,18,51,12,0,5,23,1,0,24,68,0.285,0.384,0.436,0.82,125,78,4,6,0,2,1,0.5024,123,106
124,José Abreu,34,Chicago White Sox,CHW,152,659,566,86,148,30,2,30,117,1,0,61,143,0.261,0.351,0.481,0.831,124,272,28,22,0,10,3,0.5023,124,331
125,Jake Fraley,26,Seattle Mariners,SEA,78,265,214,27,45,7,0,9,36,10,2,46,71,0.21,0.352,0.369,0.721,104,79,3,2,1,2,1,0.5019,125,133
126,Josh Bell,28,Washington Nationals,WSN,144,568,498,75,130,24,1,27,88,0,0,65,101,0.261,0.347,0.476,0.823,124,237,22,2,0,3,2,0.5000,127,284
127,Robinson Chirinos,37,Chicago Cubs,CHC,45,112,97,13,22,5,1,5,15,0,0,9,36,0.227,0.324,0.454,0.778,108,44,2,5,1,0,0,0.5000,126,56
128,Jake Meyers,25,Houston Astros,HOU,49,163,146,22,38,8,0,6,28,3,0,10,50,0.26,0.323,0.438,0.761,107,64,0,4,2,1,0,0.4969,128,81
129,Dansby Swanson,27,Atlanta Braves,ATL,160,653,588,78,146,33,2,27,88,9,3,52,167,0.248,0.311,0.449,0.76,99,264,7,5,1,7,4,0.4962,129,324
130,Aristides Aquino,27,Cinncinnati Reds,CIN,84,204,174,25,33,6,1,10,23,2,2,27,75,0.19,0.299,0.408,0.707,81,71,0,1,0,2,2,0.4951,130,101
131,Bobby Bradley,25,Cleveland Indians,CLE,74,279,245,36,51,10,0,16,41,0,0,25,99,0.208,0.294,0.445,0.739,100,109,3,6,0,3,1,0.4946,131,138
132,Yoán Moncada,26,Chicago White Sox,CHW,144,616,520,74,137,33,1,14,61,3,2,84,157,0.263,0.375,0.412,0.787,116,214,6,10,0,2,1,0.4935,132,304
133,Ian Happ,26,Chicago Cubs,CHC,148,535,465,63,105,20,1,25,66,9,2,62,156,0.226,0.323,0.434,0.757,103,202,12,5,2,1,0,0.4935,133,264
134,Anthony Rizzo,31,Toronto Blue Jays,TOT,141,576,496,73,123,23,3,22,61,6,2,52,87,0.248,0.344,0.44,0.783,112,218,15,23,0,5,2,0.4931,134,284
135,Willson Contreras,29,Chicago Cubs,CHC,128,483,413,61,98,20,0,21,57,5,4,52,138,0.237,0.34,0.438,0.778,109,181,11,14,0,4,1,0.4928,135,238
136,Lars Nootbaar,23,St. Louis Cardinals,STL,58,124,109,15,26,3,1,5,15,2,1,13,28,0.239,0.317,0.422,0.739,103,46,0,0,1,1,1,0.4919,136,61
137,Dom Nuñez,26,Colorado Rockies,COL,81,263,228,31,43,12,3,10,33,0,0,34,91,0.189,0.293,0.399,0.692,75,91,0,0,0,1,4,0.4905,137,129
138,Travis Jankowski,30,Philadelphia Phillies,PHI,76,157,131,24,33,6,2,1,10,5,0,22,29,0.252,0.364,0.351,0.715,96,46,1,1,2,0,4,0.4904,138,77
139,Jeimer Candelario,27,Detroit Tigers,DET,149,626,557,75,151,42,3,16,67,0,0,65,135,0.271,0.351,0.443,0.795,121,247,10,4,0,0,1,0.4904,139,307
140,Manny Piña,34,Milwaukee Brewers,MIL,75,208,180,27,34,6,0,13,33,0,0,22,38,0.189,0.293,0.439,0.732,95,79,4,5,0,1,0,0.4904,140,102
141,Ryan McMahon,26,Colorado Rockies,COL,151,596,528,80,134,32,1,23,86,6,2,59,147,0.254,0.331,0.449,0.779,98,237,14,4,0,5,2,0.4899,141,292
142,Mark Canha,32,Oakland Athletics,OAK,141,625,519,93,120,22,4,17,61,12,2,77,128,0.231,0.358,0.387,0.746,111,201,9,27,0,2,0,0.4896,142,306
143,Dylan Carlson,22,St. Louis Cardinals,STL,149,619,542,79,144,31,4,18,65,2,1,57,152,0.266,0.343,0.437,0.78,115,237,5,11,1,8,2,0.4895,143,303
144,Jazz Chisholm Jr.,23,Miami Marlins,MIA,124,507,464,70,115,20,4,18,53,23,8,34,145,0.248,0.303,0.425,0.728,95,197,3,4,2,3,0,0.4872,144,247
145,Jesús Aguilar,31,Miami Marlins,MIA,131,510,449,49,117,23,0,22,93,0,0,46,93,0.261,0.329,0.459,0.788,111,206,11,3,0,7,4,0.4863,145,248
146,Christian Arroyo,26,Boston Red Sox,BOS,57,181,164,22,43,12,0,6,25,1,0,8,44,0.262,0.324,0.445,0.769,103,73,1,7,1,0,0,0.4862,146,88
147,Kyle Garlick,29,Minnesota Twins,MIN,36,107,99,17,23,8,0,5,10,1,0,6,32,0.232,0.28,0.465,0.745,102,46,2,1,0,1,0,0.4860,147,52
148,Yuli Gurriel,37,Houston Astros,HOU,143,605,530,83,169,31,0,15,81,1,1,59,68,0.319,0.383,0.462,0.846,131,245,16,4,0,12,2,0.4860,148,294
149,Ji Man Choi,30,Tampa Bay Rays,TBR,83,305,258,36,59,14,0,11,45,0,0,45,87,0.229,0.348,0.411,0.758,114,106,5,2,0,0,0,0.4852,149,148
150,Max Schrock,26,Cinncinnati Reds,CIN,53,134,125,19,36,7,2,3,14,1,1,8,24,0.288,0.328,0.448,0.776,99,56,0,0,0,1,1,0.4851,150,65
151,Lane Thomas,25,Toronto Blue Jays,TOT,77,264,226,35,53,15,2,7,28,6,3,37,63,0.235,0.341,0.412,0.752,107,93,6,0,0,1,1,0.4848,151,128
