Rank,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
427,Brandon Crawford,36,San Francisco Giants,SFG,93,320,283,31,55,11,1,7,38,3,0,28,81,0.194,0.273,0.314,0.587,63,89,5,4,1,4,1,0.3750,437,120
428,Emmanuel Rivera,27,Arizona Diamondbacks,ARI,86,283,257,32,67,13,0,4,29,1,0,22,56,0.261,0.314,0.358,0.672,84,92,9,0,0,4,0,0.3746,385,106
429,Jason Delay,28,Pittsburgh Pirates,PIT,70,187,167,20,42,11,1,1,18,0,0,14,44,0.251,0.319,0.347,0.666,83,58,5,3,2,1,0,0.3743,423,70
430,Enrique Hernández,31,Toronto Blue Jays,TOT,140,508,465,57,110,23,0,11,61,4,1,34,97,0.237,0.289,0.357,0.646,74,166,17,3,0,6,1,0.3740,396,190
431,Santiago Espinal,28,Toronto Blue Jays,TOR,93,254,230,30,57,14,0,2,25,2,1,18,36,0.248,0.310,0.335,0.644,80,77,5,3,2,1,1,0.3740,433,95
432,Avisaíl García,32,Miami Marlins,MIA,37,118,108,8,20,3,1,3,12,2,0,6,39,0.185,0.241,0.315,0.556,50,34,1,2,0,0,1,0.3729,455,44
433,Trey Mancini,31,Chicago Cubs,CHC,79,263,235,31,55,12,0,4,28,0,0,21,78,0.234,0.299,0.336,0.635,71,79,5,2,0,3,1,0.3726,427,98
434,Rodolfo Castro,24,Toronto Blue Jays,TOT,92,256,227,21,48,7,0,6,24,1,4,23,74,0.211,0.297,0.322,0.618,70,73,4,5,0,1,1,0.3711,452,95
435,Paul DeJong,29,Toronto Blue Jays,TOT,112,400,372,41,77,13,0,14,38,4,4,21,121,0.207,0.258,0.355,0.612,66,132,10,5,0,2,0,0.3700,431,148
436,Jordan Diaz,22,Oakland Athletics,OAK,90,293,272,20,60,9,0,10,27,0,1,17,69,0.221,0.273,0.364,0.637,81,99,10,3,0,1,0,0.3686,414,108
437,Nicky Lopez,28,Kansas City Royals,KCR,68,190,160,19,34,5,3,0,13,4,2,21,30,0.213,0.323,0.281,0.604,69,45,3,5,4,0,0,0.3684,460,70
438,Jace Peterson,33,Arizona Diamondbacks,ARI,41,106,93,5,17,3,2,0,9,4,1,11,24,0.183,0.276,0.258,0.534,48,24,1,1,1,0,1,0.3679,451,39
439,Endy Rodríguez,23,Pittsburgh Pirates,PIT,57,204,186,27,41,7,2,3,13,0,0,17,49,0.220,0.284,0.328,0.612,67,61,3,0,0,1,0,0.3676,432,75
440,Ildemaro Vargas,31,Washington Nationals,WSN,86,286,262,32,66,13,2,4,31,1,1,19,20,0.252,0.304,0.363,0.666,84,95,10,1,3,1,0,0.3671,403,105
441,Martín Maldonado,36,Houston Astros,HOU,116,407,362,33,69,12,0,15,36,0,0,30,139,0.191,0.258,0.348,0.606,66,126,10,3,12,0,0,0.3661,430,149
442,Josh Rojas,29,Arizona Diamondbacks,ARI,59,216,189,23,43,13,0,0,26,6,0,18,51,0.228,0.292,0.296,0.589,62,56,2,1,2,4,0,0.3657,445,79
443,Mike Zunino,32,Cleveland Indians,CLE,42,140,124,11,22,7,0,3,11,0,0,15,61,0.177,0.271,0.306,0.578,62,38,3,1,0,0,0,0.3643,435,51
444,Gio Urshela,31,Los Angeles Angels,LAA,62,228,214,22,64,8,1,2,24,3,2,10,36,0.299,0.329,0.374,0.703,91,80,9,1,0,3,0,0.3640,401,83
445,Javier Báez,30,Detroit Tigers,DET,136,547,510,58,113,18,4,9,59,12,0,24,125,0.222,0.267,0.325,0.593,62,166,12,9,0,3,0,0.3638,448,199
446,Nick Ahmed,33,Arizona Diamondbacks,ARI,72,210,198,14,42,10,1,2,17,5,1,12,52,0.212,0.257,0.303,0.560,53,60,0,0,0,0,0,0.3619,456,76
447,Oswaldo Cabrera,24,New York Yankees,NYY,115,330,298,35,63,11,0,5,29,8,0,25,72,0.211,0.275,0.299,0.574,58,89,6,2,3,2,1,0.3606,443,119
448,Jesse Winker,29,Milwaukee Brewers,MIL,61,197,166,16,33,5,0,1,23,0,0,26,51,0.199,0.320,0.247,0.567,60,41,0,4,0,1,0,0.3604,484,71
449,Mike Moustakas,34,Los Angeles Angels,LAA,65,250,237,22,56,8,0,8,31,0,0,6,61,0.236,0.256,0.371,0.627,68,88,6,2,0,5,0,0.3600,439,90
450,Garrett Stubbs,30,Philadelphia Phillies,PHI,41,125,113,15,23,4,1,1,12,2,0,9,29,0.204,0.274,0.283,0.557,54,32,0,2,1,0,0,0.3600,477,45
451,Eduardo Escobar,34,Toronto Blue Jays,TOT,99,309,288,32,65,6,5,6,31,2,1,18,78,0.226,0.269,0.344,0.613,67,99,7,0,1,2,0,0.3592,434,111
452,Matt Duffy,32,Kansas City Royals,KCR,78,209,191,17,48,8,0,2,16,1,0,12,39,0.251,0.306,0.325,0.631,75,62,4,4,0,2,0,0.3589,458,75
453,Brett Baty,23,New York Mets,NYM,108,389,353,41,75,12,0,9,34,2,0,29,109,0.212,0.275,0.323,0.598,65,114,8,2,1,1,0,0.3573,442,139
454,Myles Straw,28,Cleveland Indians,CLE,147,518,462,52,110,18,3,1,29,20,6,42,97,0.238,0.301,0.297,0.597,69,137,10,2,6,6,0,0.3571,444,185
455,Corey Dickerson,34,Washington Nationals,WSN,50,152,144,12,36,7,1,2,17,0,1,7,28,0.250,0.283,0.354,0.637,76,51,3,0,0,1,0,0.3553,440,54
456,Luis Guillorme,28,New York Mets,NYM,54,120,107,12,24,6,1,1,9,0,0,10,28,0.224,0.288,0.327,0.615,70,35,4,0,2,1,1,0.3500,429,42
457,Miguel Rojas,34,Los Angeles Dodgers,LAD,124,423,385,49,91,16,1,5,31,8,3,26,48,0.236,0.290,0.322,0.612,66,124,12,5,2,5,0,0.3499,453,148
458,Omar Narváez,31,New York Mets,NYM,49,146,128,12,27,5,0,2,7,0,0,14,27,0.211,0.283,0.297,0.580,61,38,1,0,1,3,0,0.3493,465,51
459,Jake Alu,26,Washington Nationals,WSN,51,175,159,14,36,2,1,2,16,5,1,10,42,0.226,0.282,0.289,0.571,59,46,2,3,1,2,0,0.3486,478,61
460,AJ Pollock,35,Seattle Mariners,SEA,49,138,127,15,22,4,0,5,15,0,1,9,30,0.173,0.225,0.323,0.547,53,41,1,0,0,2,0,0.3478,466,48
461,Aledmys Díaz,32,Oakland Athletics,OAK,109,344,315,25,72,20,1,4,24,1,0,17,66,0.229,0.280,0.337,0.616,76,106,14,7,1,4,2,0.3459,454,119
462,Jared Walsh,29,Los Angeles Angels,LAA,39,116,104,10,13,4,0,4,11,0,0,11,45,0.125,0.216,0.279,0.494,33,29,1,1,0,0,0,0.3448,476,40
463,Carson Kelly,28,Toronto Blue Jays,TOT,50,151,136,13,28,5,0,2,13,1,0,14,40,0.206,0.278,0.287,0.565,56,39,2,0,0,1,0,0.3444,461,52
464,Zach Remillard,29,Chicago White Sox,CHW,54,160,147,16,37,7,0,1,18,4,3,8,48,0.252,0.295,0.320,0.615,69,47,3,1,4,0,1,0.3438,464,55
465,Seby Zavala,29,Toronto Blue Jays,TOT,73,193,175,17,30,4,0,7,18,1,0,12,70,0.171,0.230,0.314,0.545,47,55,4,2,2,2,0,0.3420,468,66
466,Lenyn Sosa,23,Chicago White Sox,CHW,52,173,164,12,33,6,0,6,14,0,1,5,40,0.201,0.224,0.348,0.571,53,57,3,0,3,1,1,0.3410,459,59
467,Christian Vázquez,32,Minnesota Twins,MIN,102,355,327,34,73,13,0,6,32,1,0,25,82,0.223,0.280,0.318,0.598,65,104,11,1,1,1,1,0.3408,449,121
468,Enrique Hernández,31,Boston Red Sox,BOS,86,323,297,38,66,11,0,6,31,3,1,22,68,0.222,0.279,0.320,0.599,62,95,11,2,0,2,0,0.3406,450,110
469,Oswald Peraza,23,New York Yankees,NYY,52,191,173,15,33,8,0,2,14,4,3,13,50,0.191,0.267,0.272,0.539,49,47,1,5,0,0,0,0.3403,499,65
470,Christian Arroyo,28,Boston Red Sox,BOS,66,206,195,23,47,16,0,3,24,1,3,7,45,0.241,0.268,0.369,0.638,70,72,8,1,1,2,0,0.3398,441,70
471,Casey Schmitt,24,San Francisco Giants,SFG,90,277,253,28,52,15,0,5,30,2,1,13,65,0.206,0.255,0.324,0.580,60,82,7,5,3,3,0,0.3394,473,94
472,Oscar Colás,24,Chicago White Sox,CHW,75,263,245,32,53,9,0,5,19,4,3,12,71,0.216,0.257,0.314,0.571,55,77,5,2,2,2,1,0.3346,474,88
473,Jon Singleton,31,Toronto Blue Jays,TOT,36,105,91,11,15,3,0,2,12,0,0,13,23,0.165,0.267,0.264,0.530,48,24,2,0,0,1,0,0.3333,467,35
474,AJ Pollock,35,Toronto Blue Jays,TOT,54,144,133,15,22,4,0,5,15,0,1,9,32,0.165,0.215,0.308,0.524,46,41,1,0,0,2,0,0.3333,483,48
475,Kevin Smith,26,Oakland Athletics,OAK,49,146,135,15,25,4,0,5,11,1,0,5,51,0.185,0.220,0.326,0.546,54,44,3,1,5,0,0,0.3288,479,48
476,Kolten Wong,32,Toronto Blue Jays,TOT,87,250,224,25,41,6,0,4,27,3,2,18,53,0.183,0.256,0.263,0.519,47,59,1,5,0,3,0,0.3280,501,82
477,Joey Wendle,33,Miami Marlins,MIA,112,318,297,33,63,16,3,2,20,7,1,13,67,0.212,0.248,0.306,0.554,50,91,8,2,3,3,0,0.3270,475,104
478,Tim Anderson,30,Chicago White Sox,CHW,123,524,493,52,121,18,2,1,25,13,2,26,122,0.245,0.286,0.296,0.582,60,146,15,3,0,2,0,0.3263,470,171
479,Wil Myers,32,Cinncinnati Reds,CIN,37,141,127,11,24,3,0,3,12,2,1,12,48,0.189,0.257,0.283,0.541,46,36,3,0,1,1,0,0.3262,472,46
480,Jacob Stallings,33,Miami Marlins,MIA,88,276,241,22,46,14,0,3,20,0,0,27,67,0.191,0.278,0.286,0.565,54,69,9,3,3,2,0,0.3261,471,90
481,Lawrence Butler,22,Oakland Athletics,OAK,42,129,123,10,26,4,0,4,10,0,0,4,35,0.211,0.240,0.341,0.582,64,42,5,1,0,1,0,0.3256,463,42
482,Josh Harrison,35,Philadelphia Phillies,PHI,40,114,103,8,21,3,0,2,10,0,0,3,20,0.204,0.263,0.291,0.554,53,30,2,6,0,2,0,0.3246,507,37
483,Seby Zavala,29,Chicago White Sox,CHW,66,176,161,15,25,3,0,7,16,1,0,10,68,0.155,0.207,0.304,0.511,37,49,4,1,2,2,0,0.3239,481,57
484,Oscar González,25,Cleveland Indians,CLE,54,180,173,15,37,7,2,2,12,0,0,5,46,0.214,0.239,0.312,0.551,53,54,2,1,0,1,0,0.3222,496,58
485,Eric Hosmer,33,Chicago Cubs,CHC,31,100,94,7,22,3,0,2,14,0,0,6,25,0.234,0.280,0.330,0.610,64,31,5,0,0,0,0,0.3200,446,32
486,Harold Castro,29,Colorado Rockies,COL,99,270,258,24,65,13,0,1,31,1,0,9,66,0.252,0.275,0.314,0.589,52,81,5,0,1,2,0,0.3185,486,86
487,Eduardo Escobar,34,Los Angeles Angels,LAA,59,189,178,17,39,3,3,2,15,0,1,10,54,0.219,0.259,0.303,0.563,53,54,3,0,0,1,0,0.3175,489,60
488,José Herrera,26,Arizona Diamondbacks,ARI,41,120,101,15,21,5,0,0,7,1,0,13,30,0.208,0.296,0.257,0.553,54,26,2,0,5,1,0,0.3167,491,38
489,Nick Fortes,26,Miami Marlins,MIA,108,323,294,33,60,10,0,6,26,4,2,17,59,0.204,0.263,0.299,0.562,52,88,12,7,3,2,0,0.3158,492,102
490,Michael Toglia,24,Colorado Rockies,COL,45,152,141,18,23,5,0,4,9,1,1,10,50,0.163,0.224,0.284,0.507,30,40,3,1,0,0,0,0.3158,494,48
491,Jose Trevino,30,New York Yankees,NYY,55,168,157,15,33,4,0,4,15,0,0,8,22,0.210,0.257,0.312,0.570,56,49,6,2,1,0,0,0.3155,485,53
492,Jean Segura,33,Miami Marlins,MIA,85,326,301,25,66,5,2,3,21,6,2,22,47,0.219,0.277,0.279,0.556,52,84,12,2,1,0,1,0.3098,482,101
493,Tucker Barnhart,32,Chicago Cubs,CHC,43,123,109,6,22,3,0,1,9,1,0,12,42,0.202,0.285,0.257,0.541,48,28,4,1,0,1,0,0.3089,490,38
494,Nick Allen,24,Oakland Athletics,OAK,106,329,303,29,67,4,2,4,20,5,1,17,52,0.221,0.263,0.287,0.550,58,87,8,1,6,2,0,0.3070,495,101
495,Austin Wynns,32,Colorado Rockies,COL,45,131,117,11,25,5,0,1,8,1,0,8,32,0.214,0.273,0.282,0.555,45,33,4,2,3,1,0,0.3053,498,40
496,Brett Wisely,24,San Francisco Giants,SFG,51,131,120,10,21,5,0,2,8,2,1,9,40,0.175,0.231,0.267,0.497,38,32,2,0,1,1,0,0.3053,497,40
497,Austin Wynns,32,Toronto Blue Jays,TOT,51,145,130,11,27,6,0,1,10,1,0,9,39,0.208,0.268,0.277,0.545,42,36,4,2,3,1,0,0.3034,500,44
498,Everson Pereira,22,New York Yankees,NYY,27,103,93,6,14,4,0,0,10,4,0,8,40,0.151,0.233,0.194,0.427,20,18,1,2,0,0,0,0.3010,506,31
499,Eric Haase,30,Detroit Tigers,DET,86,282,264,22,53,8,1,4,26,3,1,16,78,0.201,0.246,0.284,0.530,45,75,10,0,1,1,1,0.2979,488,84
500,Eric Haase,30,Toronto Blue Jays,TOT,89,293,274,22,55,8,1,4,26,4,1,17,81,0.201,0.247,0.281,0.528,45,77,11,0,1,1,1,0.2969,487,87
501,Kolten Wong,32,Seattle Mariners,SEA,67,216,194,21,32,6,0,2,19,1,1,16,46,0.165,0.241,0.227,0.468,34,44,0,4,0,2,0,0.2963,509,64
502,José Miranda,25,Minnesota Twins,MIN,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,56,43,8,1,0,0,0,0.2961,480,45
503,Alika Williams,24,Pittsburgh Pirates,PIT,46,112,101,7,20,5,0,0,6,0,0,9,35,0.198,0.270,0.248,0.518,44,25,2,1,1,0,0,0.2946,503,33
504,Jonathan Schoop,31,Detroit Tigers,DET,55,151,136,15,29,8,0,0,7,0,0,13,37,0.213,0.278,0.272,0.550,53,37,6,0,0,2,0,0.2914,493,44
505,Masyn Winn,21,St. Louis Cardinals,STL,37,137,122,8,21,2,0,2,12,2,1,10,26,0.172,0.230,0.238,0.467,29,29,1,0,2,3,0,0.2847,505,39
506,Austin Barnes,33,Los Angeles Dodgers,LAD,59,200,178,15,32,5,0,2,11,2,1,17,43,0.180,0.256,0.242,0.498,36,43,7,2,1,2,0,0.2800,502,56
507,Jonah Bride,27,Oakland Athletics,OAK,40,106,88,9,15,3,0,0,7,0,1,11,22,0.170,0.286,0.205,0.490,45,18,3,4,1,2,0,0.2736,510,29
508,Tyler Soderstrom,21,Oakland Athletics,OAK,45,138,125,9,20,1,0,3,7,0,0,11,43,0.160,0.232,0.240,0.472,36,30,6,1,0,1,0,0.2609,504,36
509,Austin Nola,33,San Diego Padres,SDP,52,154,130,9,19,3,0,1,8,0,0,18,31,0.146,0.260,0.192,0.452,30,25,5,2,4,0,0,0.2597,508,40
510,Austin Hedges,30,Pittsburgh Pirates,PIT,65,187,161,13,29,5,0,1,14,1,0,11,39,0.180,0.237,0.230,0.467,29,37,7,2,9,3,0,0.2353,511,44
511,Austin Hedges,30,Toronto Blue Jays,TOT,81,212,185,14,34,5,0,1,16,1,0,11,47,0.184,0.234,0.227,0.461,27,42,7,2,10,3,0,0.2311,512,49
512,Jackie Bradley Jr.,33,Kansas City Royals,KCR,43,113,105,10,14,5,0,1,6,0,0,5,29,0.133,0.188,0.210,0.397,10,22,3,2,1,0,0,0.2301,513,26
513,Cam Gallagher,30,Cleveland Indians,CLE,56,149,143,6,18,6,0,0,7,0,0,4,46,0.126,0.154,0.168,0.322,-9,24,3,1,0,1,0,0.1745,514,26
