Rank,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
344,Kyle Isbel,26,Kansas City Royals,KCR,91,313,292,45,70,22,2,5,34,7,1,17,59,0.240,0.282,0.380,0.662,80,111,5,1,1,2,0,0.4153,331,130
345,Zack Short,28,Detroit Tigers,DET,110,253,221,17,45,9,0,7,33,5,0,28,66,0.204,0.292,0.339,0.631,73,75,3,0,3,1,0,0.4150,337,105
346,Kris Bryant,31,Colorado Rockies,COL,80,335,300,36,70,10,0,10,31,0,0,29,68,0.233,0.313,0.367,0.680,76,110,6,6,0,0,0,0.4149,369,139
347,Corey Julks,27,Houston Astros,HOU,93,323,298,35,73,14,0,6,33,15,3,22,75,0.245,0.297,0.352,0.650,79,105,6,1,0,2,0,0.4149,325,134
348,Josh H. Smith,25,Texas Rangers,TEX,90,232,195,29,36,8,1,6,15,1,0,25,55,0.185,0.304,0.328,0.633,73,64,3,9,2,1,0,0.4138,420,96
349,Manuel Margot,28,Tampa Bay Rays,TBR,99,336,311,39,82,21,1,4,38,9,3,18,55,0.264,0.310,0.376,0.686,91,117,6,4,0,3,0,0.4137,355,139
350,Maikel García,23,Kansas City Royals,KCR,123,515,464,59,126,20,4,4,50,23,7,38,115,0.272,0.323,0.358,0.681,88,166,9,2,1,10,0,0.4136,335,213
351,Jurickson Profar,30,Toronto Blue Jays,TOT,125,521,459,55,111,27,2,9,46,1,0,50,90,0.242,0.321,0.368,0.689,80,169,11,6,0,5,0,0.4127,348,215
352,Luke Maile,32,Cinncinnati Reds,CIN,74,199,179,17,42,10,0,6,25,2,1,14,49,0.235,0.308,0.391,0.699,87,70,8,5,1,0,0,0.4121,336,82
353,Henry Davis,23,Pittsburgh Pirates,PIT,62,255,225,27,48,10,0,7,24,3,5,25,69,0.213,0.302,0.351,0.653,78,79,3,4,0,1,2,0.4118,383,105
354,Dylan Carlson,24,St. Louis Cardinals,STL,76,255,219,27,48,8,1,5,27,3,0,26,49,0.219,0.318,0.333,0.651,79,73,4,7,0,3,0,0.4118,399,105
355,Dominic Canzone,25,Seattle Mariners,SEA,44,141,135,19,29,11,0,5,13,1,0,6,24,0.215,0.248,0.407,0.656,81,55,4,0,0,0,0,0.4113,299,58
356,Jurickson Profar,30,Colorado Rockies,COL,111,472,415,51,98,25,2,8,39,1,0,45,86,0.236,0.316,0.364,0.680,76,151,9,6,0,5,0,0.4110,362,194
357,Paul DeJong,29,Toronto Blue Jays,TOT,99,356,328,40,74,13,0,14,37,4,4,21,103,0.226,0.281,0.393,0.674,82,129,9,5,0,2,0,0.4101,351,146
358,Ryan McKenna,26,Baltimore Orioles,BAL,88,139,122,23,31,7,0,2,18,5,0,9,40,0.254,0.316,0.361,0.677,91,44,4,3,3,2,0,0.4101,363,57
359,Tyler Stephenson,26,Cinncinnati Reds,CIN,142,517,465,59,113,20,2,13,56,0,1,47,135,0.243,0.317,0.378,0.696,87,176,16,4,0,1,2,0.4101,315,212
360,Harrison Bader,29,Toronto Blue Jays,TOT,98,344,319,44,74,12,2,7,40,20,3,17,59,0.232,0.274,0.348,0.622,69,111,7,3,1,4,0,0.4099,350,141
361,Mike Moustakas,34,Toronto Blue Jays,TOT,112,386,352,43,87,15,0,12,48,0,0,23,95,0.247,0.293,0.392,0.685,81,138,7,3,0,8,1,0.4093,354,158
362,Amed Rosario,27,Toronto Blue Jays,TOT,142,545,510,70,134,25,8,6,58,15,2,29,99,0.263,0.305,0.378,0.683,89,193,15,3,0,3,0,0.4092,321,223
363,Ramón Urías,29,Baltimore Orioles,BAL,116,396,360,45,95,22,3,4,42,3,1,27,101,0.264,0.328,0.375,0.703,98,135,10,8,0,1,0,0.4091,372,162
364,Josh Rojas,29,Toronto Blue Jays,TOT,105,350,314,47,77,17,0,4,40,12,0,27,81,0.245,0.303,0.338,0.641,78,106,3,1,2,4,0,0.4086,371,143
365,Dominic Smith,28,Washington Nationals,WSN,153,586,527,57,134,21,1,12,46,1,1,47,91,0.254,0.326,0.366,0.692,92,193,12,10,0,2,1,0.4078,379,239
366,Starling Marte,34,New York Mets,NYM,86,341,315,38,78,7,1,5,28,24,4,16,69,0.248,0.301,0.324,0.625,73,102,8,8,2,0,1,0.4076,384,139
367,Rowdy Tellez,28,Milwaukee Brewers,MIL,105,351,311,26,67,9,1,13,47,0,0,35,86,0.215,0.291,0.376,0.667,82,117,11,0,0,5,2,0.4074,302,143
368,Rob Refsnyder,32,Boston Red Sox,BOS,89,243,202,31,50,9,1,1,28,7,2,33,47,0.248,0.365,0.317,0.682,87,64,8,5,1,1,0,0.4074,353,99
369,Kevin Newman,29,Cinncinnati Reds,CIN,74,253,225,28,57,16,0,3,28,8,1,17,34,0.253,0.311,0.364,0.675,81,82,7,4,2,5,0,0.4071,357,103
370,Dominic Canzone,25,Toronto Blue Jays,TOT,59,182,173,23,38,13,0,6,21,1,0,8,32,0.220,0.258,0.399,0.657,81,69,5,1,0,0,0,0.4066,329,74
371,Nick Pratto,24,Kansas City Royals,KCR,95,345,306,33,71,16,0,7,35,1,1,29,138,0.232,0.307,0.353,0.660,82,108,3,6,0,4,0,0.4058,405,140
372,Nick Madrigal,26,Chicago Cubs,CHC,92,294,270,34,71,16,1,2,28,10,2,10,24,0.263,0.311,0.352,0.663,79,95,3,9,5,0,0,0.4048,426,119
373,Jace Peterson,33,Toronto Blue Jays,TOT,133,430,374,35,79,10,4,6,37,15,2,47,101,0.211,0.304,0.307,0.611,75,115,7,4,2,3,2,0.4047,378,174
