Rank,Name,Age,TmFull,team_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
53,Elly De La Cruz,22,Cincinnati Reds,CIN,1,4,3,2,1,0,0,0,0,1,0,1,2,.333,.500,.333,.833,133,1,0,0,0,0,0,0.7500,53,3
54,Yainer Diaz,25,Houston Astros,HOU,1,4,4,0,3,0,0,0,1,0,0,0,0,.750,.750,.750,1.500,340,3,0,0,0,0,0,0.7500,54,3
55,Brayan Rocchio,23,Cleveland Guardians,CLE,1,4,3,0,1,1,0,0,2,0,0,1,1,.333,.500,.667,1.167,236,2,0,0,0,0,0,0.7500,55,3
56,Bobby Witt Jr,24,Kansas City Royals,KCR,1,4,3,0,1,1,0,0,0,0,0,1,2,.333,.500,.667,1.167,236,2,0,0,0,0,0,0.7500,56,3
57,Josh Bell,31,Miami Marlins,MIA,1,6,4,1,2,0,0,0,0,0,0,1,1,.500,.667,.500,1.167,225,2,0,1,0,0,0,0.6667,57,4
58,Ezequiel Duran,25,Texas Rangers,TEX,1,3,3,0,1,1,0,0,0,0,0,0,2,.333,.333,.667,1.000,182,2,0,0,0,0,0,0.6667,58,2
59,Edouard Julien,25,Minnesota Twins,MIN,1,3,2,0,1,0,0,0,0,0,0,1,0,.500,.667,.500,1.167,248,1,0,0,0,0,0,0.6667,59,2
60,René Pinto,27,Tampa Bay Rays,TBR,1,3,3,1,1,1,0,0,0,0,0,0,1,.333,.333,.667,1.000,182,2,0,0,0,0,0,0.6667,60,2
61,Tyler Wade,29,San Diego Padres,SDP,3,9,8,3,4,0,0,0,2,1,0,1,2,.500,.556,.500,1.056,192,4,0,0,0,0,0,0.6667,61,6
62,Jake Cronenworth,30,San Diego Padres,SDP,3,14,12,2,5,1,1,0,6,0,0,0,3,.417,.429,.667,1.095,198,8,0,1,0,1,0,0.6429,62,9
63,Wyatt Langford,22,Texas Rangers,TEX,1,5,3,0,1,0,0,0,1,0,0,1,1,.333,.400,.333,.733,117,1,0,0,0,1,1,0.6000,63,3
64,Ketel Marte,30,Arizona Diamondbacks,ARI,1,5,5,3,3,0,0,0,1,0,0,0,0,.600,.600,.600,1.200,231,3,0,0,0,0,0,0.6000,64,3
65,Gabriel Moreno,24,Arizona Diamondbacks,ARI,1,5,5,2,2,1,0,0,3,0,0,0,1,.400,.400,.600,1.000,172,3,0,0,0,0,0,0.6000,65,3
66,Josh Naylor,27,Cleveland Guardians,CLE,1,5,3,1,1,1,0,0,0,0,1,1,1,.333,.600,.667,1.267,269,2,0,1,0,0,0,0.6000,66,3
67,Anthony Rizzo,34,New York Yankees,NYY,1,5,3,0,1,0,0,0,1,0,0,1,1,.333,.600,.333,.933,183,1,0,1,0,0,0,0.6000,67,3
68,Adley Rutschman,26,Baltimore Orioles,BAL,1,5,4,3,2,0,0,0,2,0,0,1,0,.500,.600,.500,1.100,226,2,0,0,0,0,0,0.6000,68,3
69,Carlos Santana,38,Minnesota Twins,MIN,1,5,4,0,1,0,0,0,0,0,0,1,2,.250,.400,.250,.650,96,1,0,0,0,0,1,0.6000,69,3
70,Juan Soto,25,New York Yankees,NYY,1,5,3,0,1,0,0,0,1,0,0,2,1,.333,.600,.333,.933,183,1,0,0,0,0,0,0.6000,70,3
71,Trevor Story,31,Boston Red Sox,BOS,1,5,4,0,1,0,0,0,0,1,0,1,1,.250,.400,.250,.650,96,1,0,0,0,0,0,0.6000,71,3
72,Shohei Ohtani,29,Los Angeles Dodgers,LAD,3,15,13,2,5,1,0,0,2,1,0,1,1,.385,.400,.462,.862,136,6,0,0,0,1,0,0.5333,72,8
73,Will Smith,29,Los Angeles Dodgers,LAD,3,15,14,1,6,1,0,0,2,0,0,1,2,.429,.467,.500,.967,165,7,0,0,0,0,0,0.5333,73,8
74,Javier Báez,31,Detroit Tigers,DET,1,4,4,1,1,0,0,0,0,1,0,0,1,.250,.250,.250,.500,47,1,0,0,0,0,0,0.5000,74,2
75,Will Benson,26,Cincinnati Reds,CIN,1,4,4,0,1,1,0,0,0,0,0,0,1,.250,.250,.500,.750,102,2,0,0,0,0,0,0.5000,75,2
76,Xander Bogaerts,31,San Diego Padres,SDP,3,14,13,4,6,0,0,0,4,0,0,1,3,.462,.500,.462,.962,166,6,0,0,0,0,0,0.5000,76,7
77,Lawrence Butler,23,Oakland Athletics,OAK,1,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,64,0,0,0,0,0,0,0.5000,77,1
78,Andrés Giménez,25,Cleveland Guardians,CLE,1,4,3,1,1,0,0,0,1,0,0,0,0,.333,.500,.333,.833,150,1,0,1,0,0,0,0.5000,78,2
79,Kevin Kiermaier,34,Toronto Blue Jays,TOR,1,4,3,0,1,0,0,0,1,0,0,1,1,.333,.500,.333,.833,150,1,0,0,0,0,0,0.5000,79,2
80,Ha-Seong Kim,28,San Diego Padres,SDP,3,14,10,1,1,0,0,0,1,2,0,3,1,.100,.286,.100,.386,10,1,0,0,0,1,1,0.5000,80,7
81,Alex Kirilloff,26,Minnesota Twins,MIN,1,2,2,1,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,193,1,0,0,0,0,0,0.5000,81,1
82,Alejandro Kirk,25,Toronto Blue Jays,TOR,1,4,3,0,1,0,0,0,2,0,0,1,1,.333,.500,.333,.833,150,1,0,0,0,0,0,0.5000,82,2
83,Manny Machado,31,San Diego Padres,SDP,3,14,10,4,1,0,0,1,3,0,0,4,1,.100,.357,.400,.757,108,4,1,0,0,0,0,0.5000,83,7
84,Manuel Margot,29,Minnesota Twins,MIN,1,2,2,1,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,193,1,0,0,0,0,0,0.5000,84,1
85,MJ Melendez,25,Kansas City Royals,KCR,1,4,4,0,1,1,0,0,0,0,0,0,1,.250,.250,.500,.750,111,2,0,0,0,0,0,0.5000,85,2
86,Joey Meneses,32,Washington Nationals,WSN,1,4,4,1,2,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,176,2,0,0,0,0,0,0.5000,86,2
87,Jeremy Peña,26,Houston Astros,HOU,1,4,4,0,2,1,0,0,0,0,0,0,0,.500,.500,.750,1.250,258,3,1,0,0,0,0,0.5000,87,2
88,Geraldo Perdomo,24,Arizona Diamondbacks,ARI,1,4,4,2,2,0,0,0,1,0,0,0,0,.500,.500,.500,1.000,176,2,0,0,0,0,0,0.5000,88,2
89,Jorge Polanco,30,Seattle Mariners,SEA,1,4,3,0,1,0,0,0,0,0,0,0,1,.333,.500,.333,.833,150,1,0,1,0,0,0,0.5000,89,2
90,Ceddanne Rafaela,23,Boston Red Sox,BOS,1,4,4,1,1,0,1,0,1,0,1,0,1,.250,.250,.750,1.000,176,3,0,0,0,0,0,0.5000,90,2
91,Brendan Rodgers,27,Colorado Rockies,COL,1,4,4,1,1,1,0,0,0,0,0,0,0,.250,.250,.500,.750,102,2,0,0,0,0,0,0.5000,91,2
92,Julio Rodríguez,23,Seattle Mariners,SEA,1,4,4,0,1,1,0,0,0,0,0,0,1,.250,.250,.500,.750,111,2,0,0,0,0,0,0.5000,92,2
93,Josh Rojas,30,Seattle Mariners,SEA,1,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,193,1,0,0,0,0,0,0.5000,93,1
94,José Siri,28,Tampa Bay Rays,TBR,1,4,4,0,1,0,0,0,0,1,0,0,2,.250,.250,.250,.500,47,1,0,0,0,0,0,0.5000,94,2
95,Spencer Torkelson,24,Detroit Tigers,DET,1,4,4,0,2,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,193,2,0,0,0,0,0,0.5000,95,2
96,Enmanuel Valdez,25,Boston Red Sox,BOS,1,2,2,1,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,193,1,0,0,0,0,0,0.5000,96,1
97,LaMonte Wade Jr,30,San Francisco Giants,SFG,1,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,176,1,0,0,0,0,0,0.5000,97,1
98,Connor Wong,28,Boston Red Sox,BOS,1,4,4,0,2,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,193,2,0,0,0,0,0,0.5000,98,2
99,Masataka Yoshida,30,Boston Red Sox,BOS,1,4,4,0,1,1,0,0,0,0,0,0,0,.250,.250,.500,.750,111,2,0,0,0,0,0,0.5000,99,2
100,Max Muncy,33,Los Angeles Dodgers,LAD,3,15,12,2,4,1,0,0,2,0,0,2,7,.333,.400,.417,.817,124,5,0,0,0,1,0,0.4667,100,7
101,James Outman,27,Los Angeles Dodgers,LAD,3,13,9,2,2,0,0,0,2,0,0,3,1,.222,.462,.222,.684,93,2,0,1,0,0,0,0.4615,101,6
102,Jurickson Profar,31,San Diego Padres,SDP,3,9,7,0,2,0,0,0,1,0,0,2,2,.286,.444,.286,.730,105,2,0,0,0,0,0,0.4444,102,4
103,Luis Campusano,25,San Diego Padres,SDP,3,14,14,3,5,2,0,0,2,0,0,0,0,.357,.357,.500,.857,134,7,1,0,0,0,0,0.4286,103,6
104,Blaze Alexander,25,Arizona Diamondbacks,ARI,1,5,5,0,2,0,0,0,1,0,0,0,2,.400,.400,.400,.800,121,2,0,0,0,0,0,0.4000,104,2
105,Yordan Álvarez,27,Houston Astros,HOU,1,5,5,1,2,0,0,0,0,0,0,0,0,.400,.400,.400,.800,135,2,0,0,0,0,0,0.4000,105,2
106,Tim Anderson,31,Miami Marlins,MIA,1,5,5,0,1,1,0,0,1,0,0,0,1,.200,.200,.400,.600,62,2,0,0,0,0,0,0.4000,106,2
107,Jake Burger,28,Miami Marlins,MIA,1,5,4,1,3,0,0,0,3,0,0,0,0,.750,.600,.750,1.350,269,3,1,0,0,1,0,0.4000,107,2
108,Byron Buxton,30,Minnesota Twins,MIN,1,5,4,1,1,0,0,0,0,0,0,1,1,.250,.400,.250,.650,96,1,0,0,0,0,0,0.4000,108,2
109,Corbin Carroll,23,Arizona Diamondbacks,ARI,1,5,3,2,0,0,0,0,0,0,0,2,0,.000,.400,.000,.400,18,0,0,0,0,0,0,0.4000,109,2
110,Jarren Duran,27,Boston Red Sox,BOS,1,5,5,1,1,0,0,0,0,1,0,0,1,.200,.200,.200,.400,17,1,0,0,0,0,0,0.4000,110,2
111,Austin Hays,28,Baltimore Orioles,BAL,1,5,4,1,1,0,0,0,0,0,0,1,2,.250,.400,.250,.650,96,1,0,0,0,0,0,0.4000,111,2
112,Gunnar Henderson,23,Baltimore Orioles,BAL,1,5,4,1,1,0,0,0,0,0,0,1,1,.250,.400,.250,.650,96,1,0,0,0,0,0,0.4000,112,2
113,Jonathan India,27,Cincinnati Reds,CIN,1,5,4,0,1,0,0,0,0,0,0,1,0,.250,.400,.250,.650,82,1,0,0,0,0,0,0.4000,113,2
114,Aaron Judge,32,New York Yankees,NYY,1,5,4,1,1,1,0,0,0,0,0,1,2,.250,.400,.500,.900,160,2,1,0,0,0,0,0.4000,114,2
115,Ryan Mountcastle,27,Baltimore Orioles,BAL,1,5,3,0,1,0,0,0,1,0,0,1,1,.333,.400,.333,.733,117,1,0,0,0,1,0,0.4000,115,2
116,José Ramírez,31,Cleveland Guardians,CLE,1,5,5,1,1,0,1,0,1,0,0,0,0,.200,.200,.600,.800,121,3,1,0,0,0,0,0.4000,116,2
117,Eugenio Suárez,32,Arizona Diamondbacks,ARI,1,5,4,1,2,0,0,0,2,0,0,0,1,.500,.400,.500,.900,146,2,0,0,0,1,0,0.4000,117,2
118,Seiya Suzuki,29,Chicago Cubs,CHC,1,5,5,1,1,1,0,0,0,0,0,0,0,.200,.200,.400,.600,62,2,0,0,0,0,0,0.4000,118,2
119,Alek Thomas,24,Arizona Diamondbacks,ARI,1,5,5,1,2,1,0,0,1,0,0,0,1,.400,.400,.600,1.000,172,3,1,0,0,0,0,0.4000,119,2
120,Kyle Tucker,27,Houston Astros,HOU,1,5,4,1,1,0,0,0,0,0,0,1,2,.250,.400,.250,.650,96,1,0,0,0,0,0,0.4000,120,2
121,Jackson Merrill,21,San Diego Padres,SDP,3,11,10,3,2,1,0,0,0,0,0,1,4,.200,.273,.300,.573,58,3,0,0,0,0,0,0.3636,121,4
122,Teoscar Hernández,31,Los Angeles Dodgers,LAD,3,14,12,3,2,1,0,0,0,0,0,2,7,.167,.286,.250,.536,48,3,0,0,0,0,0,0.3571,122,5
123,Fernando Tatis Jr,25,San Diego Padres,SDP,3,14,12,2,4,0,0,0,1,0,0,1,1,.333,.429,.333,.762,112,4,1,1,0,0,0,0.3571,123,5
124,Nick Allen,25,Oakland Athletics,OAK,1,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,96,1,0,0,0,0,0,0.3333,124,1
125,Charlie Blackmon,37,Colorado Rockies,COL,1,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,-1,0,0,0,0,0,0,0.3333,125,1
126,Kris Bryant,32,Colorado Rockies,COL,1,3,2,0,0,0,0,0,0,0,0,0,0,.000,.333,.000,.333,-1,0,0,1,0,0,0,0.3333,126,1
127,J.D. Davis,31,Oakland Athletics,OAK,1,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,96,1,0,0,0,0,0,0.3333,127,1
128,Elías Díaz,33,Colorado Rockies,COL,1,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,84,1,0,0,0,0,0,0.3333,128,1
129,Adam Frazier,32,Kansas City Royals,KCR,1,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,96,1,0,0,0,0,0,0.3333,129,1
130,Andy Ibáñez,31,Detroit Tigers,DET,1,3,2,0,1,0,0,0,1,0,0,0,1,.500,.333,.500,.833,139,1,0,0,0,1,0,0.3333,130,1
131,Kyle Isbel,27,Kansas City Royals,KCR,1,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,96,1,0,0,0,0,0,0.3333,131,1
132,Eloy Jiménez,27,Chicago White Sox,CHW,1,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,96,1,0,0,0,0,0,0.3333,132,1
133,Connor Joe,31,Pittsburgh Pirates,PIT,1,6,4,1,0,0,0,0,0,0,0,2,0,.000,.333,.000,.333,-1,0,0,0,0,0,0,0.3333,133,2
134,Nick Madrigal,27,Chicago Cubs,CHC,1,3,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,169,2,1,0,0,0,0,0.3333,134,1
135,Logan O'Hoppe,24,Los Angeles Angels,LAA,1,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,9,0,0,0,0,0,0,0.3333,135,1
136,Richie Palacios,27,Tampa Bay Rays,TBR,1,3,2,0,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,9,0,0,0,0,0,0,0.3333,136,1
137,Keibert Ruiz,25,Washington Nationals,WSN,1,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,84,1,0,0,0,0,0,0.3333,137,1
138,Jesús Sánchez,26,Miami Marlins,MIA,1,3,3,0,0,0,0,0,1,1,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.3333,138,1
139,Nolan Schanuel,22,Los Angeles Angels,LAA,1,3,2,1,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,9,0,0,0,0,0,0,0.3333,139,1
140,Victor Scott,23,St. Louis Cardinals,STL,1,3,3,0,0,0,0,0,0,1,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.3333,140,1
141,Ildemaro Vargas,32,Washington Nationals,WSN,1,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,84,1,0,0,0,0,0,0.3333,141,1
142,Andrew Vaughn,26,Chicago White Sox,CHW,1,3,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,96,1,0,0,0,0,0,0.3333,142,1
143,Jordan Westburg,25,Baltimore Orioles,BAL,1,3,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,96,1,0,0,0,0,0,0.3333,143,1
144,José Abreu,37,Houston Astros,HOU,1,4,3,1,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,-18,0,0,0,0,0,0,0.2500,144,1
145,José Azocar,28,San Diego Padres,SDP,3,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,38,1,0,0,0,0,0,0.2500,145,1
146,Mark Canha,35,Detroit Tigers,DET,1,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-18,0,0,0,0,0,0,0.2500,146,1
147,Evan Carter,21,Texas Rangers,TEX,1,4,3,0,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,-18,0,0,0,0,0,0,0.2500,147,1
148,Matt Chapman,31,San Francisco Giants,SFG,1,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,38,1,0,0,0,0,0,0.2500,148,1
149,Willson Contreras,32,St. Louis Cardinals,STL,1,4,3,0,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,-26,0,0,0,0,0,0,0.2500,149,1
150,Thairo Estrada,28,San Francisco Giants,SFG,1,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,38,1,0,0,0,0,0,0.2500,150,1
151,Kyle Farmer,33,Minnesota Twins,MIN,1,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-18,0,0,0,0,0,0,0.2500,151,1
152,Nick Fortes,27,Miami Marlins,MIA,1,4,3,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,-26,0,0,1,0,0,0,0.2500,152,1
153,Mitch Garver,33,Seattle Mariners,SEA,1,4,4,0,1,1,0,0,0,0,0,0,0,.250,.250,.500,.750,111,2,1,0,0,0,0,0.2500,153,1
154,Austin Hedges,31,Cleveland Guardians,CLE,1,4,4,1,1,0,0,0,1,0,0,0,2,.250,.250,.250,.500,47,1,0,0,0,0,0,0.2500,154,1
155,Enrique Hernández,32,Los Angeles Dodgers,LAD,2,4,2,0,0,0,0,0,1,0,0,1,2,.000,.250,.000,.250,-26,0,0,0,0,1,0,0.2500,155,1
156,Aaron Hicks,34,Los Angeles Angels,LAA,1,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-18,0,0,0,0,0,0,0.2500,156,1
157,Nico Hoerner,27,Chicago Cubs,CHC,1,4,2,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,48,0,1,1,0,0,0,0.2500,157,1
158,Colt Keith,22,Detroit Tigers,DET,1,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,47,1,0,0,0,0,0,0.2500,158,1
159,Brandon Lowe,29,Tampa Bay Rays,TBR,1,4,3,0,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,150,1,1,0,0,0,0,0.2500,159,1
160,Chas McCormick,29,Houston Astros,HOU,1,4,4,0,1,0,0,0,2,0,0,0,1,.250,.250,.250,.500,47,1,0,0,0,0,0,0.2500,160,1
161,Cal Raleigh,27,Seattle Mariners,SEA,1,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,47,1,0,0,0,0,0,0.2500,161,1
162,Luis Robert Jr,26,Chicago White Sox,CHW,1,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,47,1,0,0,0,0,0,0.2500,162,1
163,Jorge Soler,32,San Francisco Giants,SFG,1,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,-26,0,0,0,0,0,0,0.2500,163,1
164,Tyler Stephenson,27,Cincinnati Reds,CIN,1,4,4,0,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,38,1,0,0,0,0,0,0.2500,164,1
165,Ramón Urías,30,Baltimore Orioles,BAL,1,4,3,1,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,-18,0,0,0,0,0,0,0.2500,165,1
166,Daulton Varsho,27,Toronto Blue Jays,TOR,1,4,3,1,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,-18,0,0,0,0,0,0,0.2500,166,1
167,Matt Vierling,27,Detroit Tigers,DET,1,4,4,0,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,47,1,0,0,0,0,0,0.2500,167,1
168,Jesse Winker,30,Washington Nationals,WSN,1,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,38,1,0,0,0,0,0,0.2500,168,1
169,José Altuve,34,Houston Astros,HOU,1,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,17,1,0,0,0,0,0,0.2000,169,1
170,Alex Bregman,30,Houston Astros,HOU,1,5,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,17,1,0,0,0,0,0,0.2000,170,1
171,Triston Casas,24,Boston Red Sox,BOS,1,5,5,0,1,0,0,0,1,0,0,0,1,.200,.200,.200,.400,17,1,0,0,0,0,0,0.2000,171,1
172,Ian Happ,29,Chicago Cubs,CHC,1,5,4,0,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-41,0,0,0,0,0,0,0.2000,172,1
173,Jonah Heim,29,Texas Rangers,TEX,1,5,5,0,1,0,0,0,1,0,0,0,2,.200,.200,.200,.400,17,1,0,0,0,0,0,0.2000,173,1
174,Jason Heyward,34,Los Angeles Dodgers,LAD,3,10,9,3,2,0,0,0,2,0,0,0,0,.222,.200,.222,.422,16,2,0,0,0,1,0,0.2000,174,2
175,Steven Kwan,26,Cleveland Guardians,CLE,1,5,5,1,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,17,1,0,0,0,0,0,0.2000,175,1
176,Ramón Laureano,29,Cleveland Guardians,CLE,1,5,4,0,0,0,0,0,0,0,0,1,2,.000,.200,.000,.200,-34,0,0,0,0,0,0,0.2000,176,1
177,Corey Seager,30,Texas Rangers,TEX,1,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,17,1,0,0,0,0,0,0.2000,177,1
178,Marcus Semien,33,Texas Rangers,TEX,1,5,4,0,0,0,0,0,0,0,0,1,2,.000,.200,.000,.200,-34,0,0,0,0,0,0,0.2000,178,1
179,Giancarlo Stanton,34,New York Yankees,NYY,1,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,17,1,0,0,0,0,0,0.2000,179,1
180,Michael A. Taylor,33,Pittsburgh Pirates,PIT,1,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,10,1,0,0,0,0,0,0.2000,180,1
181,Gleyber Torres,27,New York Yankees,NYY,1,5,4,1,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-34,0,0,0,0,0,0,0.2000,181,1
182,Henry Davis,24,Pittsburgh Pirates,PIT,1,6,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-8,1,0,0,0,0,0,0.1667,182,1
183,Andrew McCutchen,37,Pittsburgh Pirates,PIT,1,6,5,0,0,0,0,0,1,0,0,1,4,.000,.167,.000,.167,-51,0,0,0,0,0,0,0.1667,183,1
184,Jared Triolo,26,Pittsburgh Pirates,PIT,1,6,6,0,1,0,0,0,1,0,0,0,2,.167,.167,.167,.333,-8,1,0,0,0,0,0,0.1667,184,1
