Rank,Name,Age,TmFull,team_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
220,Nolan Gorman,24,St. Louis Cardinals,STL,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,220,0
221,Riley Greene,23,Detroit Tigers,DET,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,221,0
222,Darell Hernaiz,22,Oakland Athletics,OAK,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,222,0
223,Ryan Jeffers,27,Minnesota Twins,MIN,1,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,223,0
224,Nolan Jones,26,Colorado Rockies,COL,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,224,0
225,Max Kepler,31,Minnesota Twins,MIN,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,225,0
226,Shea Langeliers,26,Oakland Athletics,OAK,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,226,0
227,Jung Hoo Lee,25,San Francisco Giants,SFG,1,4,3,0,1,0,0,0,1,0,1,0,1,.333,.250,.333,.583,59,1,0,0,0,1,0,0.0000,227,0
228,Nicky Lopez,29,Chicago White Sox,CHW,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,228,0
229,Martín Maldonado,37,Chicago White Sox,CHW,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,229,0
230,Miles Mastrobuoni,28,Chicago Cubs,CHC,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,230,0
231,Jake McCarthy,26,Arizona Diamondbacks,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0.0,231,0
232,Parker Meadows,24,Detroit Tigers,DET,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,232,0
233,Yoán Moncada,29,Chicago White Sox,CHW,1,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,233,0
234,Mickey Moniak,26,Los Angeles Angels,LAA,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,234,0
235,Elehuris Montero,25,Colorado Rockies,COL,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,235,0
236,Zach Neto,23,Los Angeles Angels,LAA,1,3,3,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,236,0
237,Ryan Noda,28,Oakland Athletics,OAK,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,237,0
238,Isaac Paredes,25,Tampa Bay Rays,TBR,1,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,238,0
239,Vinnie Pasquantino,26,Kansas City Royals,KCR,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,239,0
240,Graham Pauley,23,San Diego Padres,SDP,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,240,0
241,Salvador Pérez,34,Kansas City Royals,KCR,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,0.0000,241,0
