,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
443,Alcides Escobar,35,Washington Nationals,WSN,40,131,124,12,27,4,2,0,8,1,1,5,32,0.218,0.26,0.282,0.542,57,35,1,2,0,0,0,0.3130,443,41
444,Tyler Wade,27,Los Angeles Angels,LAA,67,163,147,22,32,5,0,1,8,8,5,10,33,0.218,0.272,0.272,0.544,55,40,3,1,5,0,0,0.3129,444,51
445,Jacob Stallings,32,Miami Marlins,MIA,114,384,346,25,77,12,0,4,34,0,1,29,83,0.223,0.292,0.292,0.584,67,101,15,6,1,2,0,0.3125,445,120
446,Kevin Plawecki,31,Toronto Blue Jays,TOT,63,186,168,15,37,8,0,1,13,0,0,14,32,0.22,0.286,0.286,0.572,60,48,6,2,1,1,0,0.3118,446,58
447,Seth Beer,25,Arizona Diamondbacks,ARI,38,126,111,4,21,3,0,1,9,0,0,11,31,0.189,0.278,0.243,0.521,50,27,3,3,0,1,1,0.3095,447,39
448,Mauricio Dubón,27,Toronto Blue Jays,TOT,104,265,243,31,52,9,0,5,24,2,3,13,30,0.214,0.252,0.313,0.565,61,76,7,1,3,5,0,0.3094,448,82
449,Bradley Zimmer,29,Toronto Blue Jays,TOT,109,117,105,18,13,5,0,2,5,3,2,5,45,0.124,0.207,0.229,0.435,25,24,0,6,1,0,0,0.3077,449,36
450,Tucker Barnhart,31,Detroit Tigers,DET,94,308,281,16,62,10,0,1,16,0,0,25,74,0.221,0.287,0.267,0.554,61,75,7,1,1,0,0,0.3052,450,94
451,Tyler Heineman,31,Toronto Blue Jays,TOT,62,174,157,16,34,8,0,0,9,1,0,8,17,0.217,0.276,0.268,0.544,56,42,3,5,4,0,0,0.3046,451,53
452,Vidal Bruján,24,Tampa Bay Rays,TBR,52,162,147,13,24,5,0,3,16,5,5,12,37,0.163,0.228,0.259,0.487,42,38,2,1,0,2,0,0.3025,452,49
453,Jed Lowrie,38,Oakland Athletics,OAK,50,184,167,14,30,5,0,3,16,1,0,15,39,0.18,0.245,0.263,0.508,50,44,5,0,0,2,0,0.2989,453,55
454,Tomás Nido,28,New York Mets,NYM,98,313,284,31,68,15,0,3,28,0,0,14,76,0.239,0.276,0.324,0.6,72,92,14,1,12,2,0,0.2971,454,93
455,Yadier Molina,39,St. Louis Cardinals,STL,78,270,262,19,56,8,0,5,24,2,0,5,40,0.214,0.233,0.302,0.535,52,79,10,2,0,1,0,0.2889,455,78
456,Yoshi Tsutsugo,30,Pittsburgh Pirates,PIT,50,193,170,11,29,4,0,2,19,0,0,19,50,0.171,0.249,0.229,0.478,37,39,3,0,0,4,0,0.2850,456,55
457,Ehire Adrianza,32,Toronto Blue Jays,TOT,37,110,97,8,17,3,0,0,7,1,0,11,25,0.175,0.264,0.206,0.47,38,20,2,1,0,1,0,0.2818,457,31
458,Jason Delay,27,Pittsburgh Pirates,PIT,57,167,155,17,33,6,0,1,11,0,2,9,50,0.213,0.265,0.271,0.536,53,42,4,2,1,0,0,0.2814,458,47
459,Austin Hedges,29,Cleveland Indians,CLE,105,338,294,26,48,4,0,7,30,2,0,25,78,0.163,0.241,0.248,0.489,42,73,12,6,10,3,0,0.2781,459,94
460,Leury García,31,Chicago White Sox,CHW,97,315,300,38,63,8,0,3,20,2,0,7,65,0.21,0.233,0.267,0.5,42,80,6,3,2,3,0,0.2730,460,86
461,Cristian Pache,23,Oakland Athletics,OAK,91,260,241,18,40,5,2,3,18,2,2,15,70,0.166,0.218,0.241,0.459,35,58,5,1,3,0,0,0.2654,461,69
462,Austin Romine,33,Toronto Blue Jays,TOT,51,136,129,10,20,3,0,3,9,0,0,4,46,0.155,0.187,0.248,0.435,20,32,2,1,2,0,0,0.2574,462,35
463,Lorenzo Cain,36,Milwaukee Brewers,MIL,43,156,145,17,26,5,0,1,9,2,2,8,36,0.179,0.231,0.234,0.465,32,34,4,2,0,1,0,0.2564,463,40
464,José Herrera,25,Arizona Diamondbacks,ARI,47,124,111,9,21,2,0,0,5,0,0,9,34,0.189,0.25,0.207,0.457,32,23,1,0,4,0,0,0.2500,464,31
465,Aramis Garcia,29,Cinncinnati Reds,CIN,47,115,108,6,23,2,0,1,4,0,1,3,34,0.213,0.248,0.259,0.507,40,28,4,2,2,0,0,0.2435,465,28
466,José Barrero,24,Cinncinnati Reds,CIN,48,174,165,13,25,3,0,2,10,4,1,9,76,0.152,0.195,0.206,0.401,11,34,4,0,0,0,0,0.2414,466,42
467,Ernie Clement,26,Toronto Blue Jays,TOT,69,179,163,19,30,4,0,0,6,0,1,11,26,0.184,0.243,0.209,0.452,33,34,3,2,2,1,0,0.2402,467,43
468,Michael Papierski,26,Toronto Blue Jays,TOT,39,103,91,7,13,1,0,1,4,0,0,10,26,0.143,0.228,0.187,0.415,17,17,4,0,2,0,0,0.2233,468,23
469,Robinson Canó,39,Toronto Blue Jays,TOT,33,104,100,5,15,1,0,1,4,0,0,4,25,0.15,0.183,0.19,0.373,7,19,2,0,0,0,0,0.2019,469,21
