,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
63,Vinnie Pasquantino,24,Kansas City Royals,KCR,72,298,258,25,76,10,0,10,26,1,0,35,34,0.295,0.383,0.45,0.832,135,116,5,3,0,2,1,0.5067,63,151
64,Ronald Acuna Jr.,24,Atlanta Braves,ATL,119,533,467,71,124,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,112,193,8,10,0,3,4,0.5066,64,270
65,Seth Brown,29,Oakland Athletics,OAK,150,555,500,55,115,26,3,25,73,11,2,51,146,0.23,0.305,0.444,0.749,117,222,7,3,0,1,3,0.5063,65,281
66,Eugenio Suárez,30,Seattle Mariners,SEA,150,629,543,76,128,24,2,31,87,0,0,73,196,0.236,0.332,0.459,0.791,129,249,12,8,0,5,0,0.5056,66,318
67,Jason Vosler,28,San Francisco Giants,SFG,36,111,98,14,26,6,1,4,12,1,1,10,29,0.265,0.342,0.469,0.812,129,46,3,2,0,1,1,0.5045,67,56
68,Rhys Hoskins,29,Philadelphia Phillies,PHI,156,672,589,81,145,33,2,30,79,2,1,72,169,0.246,0.332,0.462,0.794,123,272,12,6,0,4,0,0.5045,68,339
69,Giancarlo Stanton,32,New York Yankees,NYY,110,452,398,53,84,7,0,31,78,0,0,50,137,0.211,0.297,0.462,0.759,112,184,8,0,0,3,2,0.5044,69,228
70,Oneil Cruz,23,Pittsburgh Pirates,PIT,87,361,331,45,77,13,4,17,54,10,4,28,126,0.233,0.294,0.45,0.744,108,149,3,1,0,1,1,0.5042,70,182
71,Daniel Vogelbach,29,Toronto Blue Jays,TOT,130,461,386,47,92,19,1,18,59,0,0,73,114,0.238,0.36,0.433,0.793,126,167,11,1,0,1,2,0.5033,71,232
72,Vladimir Guerrero Jr.,23,Toronto Blue Jays,TOR,160,706,638,90,175,35,0,32,97,8,3,58,116,0.274,0.339,0.48,0.818,133,306,26,6,0,4,6,0.5028,72,355
73,Tyler Stephenson,25,Cinncinnati Reds,CIN,50,183,166,24,53,9,0,6,35,1,0,12,47,0.319,0.372,0.482,0.854,133,80,4,3,0,2,0,0.5027,73,92
74,Rowdy Tellez,27,Milwaukee Brewers,MIL,153,599,529,67,116,23,0,35,89,2,1,62,121,0.219,0.306,0.461,0.767,113,244,20,5,0,3,9,0.5025,74,301
75,Alex Bregman,28,Houston Astros,HOU,155,656,548,93,142,38,0,23,93,1,2,87,77,0.259,0.366,0.454,0.82,134,249,18,11,0,10,1,0.5015,75,329
76,Randy Arozarena,27,Tampa Bay Rays,TBR,153,645,586,72,154,41,3,20,89,32,12,46,156,0.263,0.327,0.445,0.773,123,261,17,11,0,2,2,0.5008,76,323
77,Stuart Fairchild,26,Toronto Blue Jays,TOT,46,110,97,14,24,4,1,5,6,0,2,8,34,0.247,0.336,0.464,0.8,118,45,1,5,0,0,0,0.5000,77,55
78,Nate Eaton,25,Kansas City Royals,KCR,44,122,106,16,28,4,3,1,12,11,1,10,30,0.264,0.331,0.387,0.717,103,41,2,2,1,3,0,0.5000,78,61
79,Mike Brosseau,28,Milwaukee Brewers,MIL,69,160,141,15,36,5,0,6,23,2,0,14,48,0.255,0.344,0.418,0.762,115,59,0,5,0,0,0,0.5000,79,80
80,Trevor Story,29,Boston Red Sox,BOS,94,396,357,53,85,22,0,16,66,13,0,32,122,0.238,0.303,0.434,0.737,102,155,9,3,0,4,4,0.5000,80,198
81,Francisco Lindor,28,New York Mets,NYM,161,706,630,98,170,25,5,26,107,16,6,59,133,0.27,0.339,0.449,0.788,125,283,11,10,0,7,2,0.5000,81,353
82,Corey Seager,28,Texas Rangers,TEX,151,663,593,91,145,24,1,33,83,3,0,58,103,0.245,0.317,0.455,0.772,117,270,14,7,0,5,7,0.4992,82,331
83,Xander Bogaerts,29,Boston Red Sox,BOS,150,631,557,84,171,38,0,15,73,8,2,57,118,0.307,0.377,0.456,0.833,131,254,14,10,0,7,2,0.4992,83,315
84,David Villar,25,San Francisco Giants,SFG,52,181,156,21,36,6,1,9,24,0,1,18,58,0.231,0.331,0.455,0.787,122,71,4,6,0,1,0,0.4972,84,90
85,Teoscar Hernández,29,Toronto Blue Jays,TOR,131,535,499,71,133,35,1,25,77,6,3,34,152,0.267,0.316,0.491,0.807,128,245,18,2,0,0,0,0.4972,85,266
86,Jeff McNeil,30,New York Mets,NYM,148,589,533,73,174,39,1,9,62,4,0,40,61,0.326,0.382,0.454,0.836,140,242,6,11,0,5,1,0.4958,86,292
87,Austin Slater,29,San Francisco Giants,SFG,125,325,277,49,73,15,2,7,34,12,1,40,89,0.264,0.366,0.408,0.774,121,113,9,6,0,2,0,0.4954,87,161
88,Yandy Díaz,30,Tampa Bay Rays,TBR,137,558,473,71,140,33,0,9,57,3,3,78,60,0.296,0.401,0.423,0.824,142,200,10,6,0,1,2,0.4946,88,276
89,Willy Adames,26,Milwaukee Brewers,MIL,139,617,563,83,134,31,0,31,98,8,3,49,166,0.238,0.298,0.458,0.756,110,258,11,1,0,4,3,0.4943,89,305
90,Carlos Correa,27,Minnesota Twins,MIN,136,590,522,70,152,24,1,22,64,0,1,61,121,0.291,0.366,0.467,0.834,138,244,18,3,0,4,2,0.4932,90,291
91,TJ Friedl,26,Cinncinnati Reds,CIN,72,258,225,33,54,10,5,8,25,7,2,20,40,0.24,0.314,0.436,0.75,104,98,3,7,0,6,0,0.4922,91,127
92,Matt Chapman,29,Toronto Blue Jays,TOR,155,621,538,83,123,27,1,27,76,2,2,68,170,0.229,0.324,0.433,0.757,116,233,7,10,0,5,1,0.4911,92,305
93,Starling Marte,33,New York Mets,NYM,118,505,466,76,136,24,5,16,63,18,9,26,97,0.292,0.347,0.468,0.814,132,218,18,13,0,0,0,0.4911,93,248
94,C.J. Cron,32,Colorado Rockies,COL,150,632,575,79,148,28,3,29,102,0,0,43,164,0.257,0.315,0.468,0.783,108,269,16,8,0,5,6,0.4905,94,310
95,Brandon Nimmo,29,New York Mets,NYM,151,673,580,102,159,30,7,16,64,3,2,71,116,0.274,0.367,0.433,0.8,130,251,9,16,3,3,0,0.4903,95,330
96,Daulton Varsho,25,Arizona Diamondbacks,ARI,151,592,531,79,125,23,3,27,74,16,6,46,145,0.235,0.302,0.443,0.745,108,235,8,7,2,5,0,0.4899,96,290
97,Ian Happ,27,Chicago Cubs,CHC,158,641,573,72,155,42,2,17,72,9,4,58,149,0.271,0.342,0.44,0.781,117,252,11,6,0,4,4,0.4899,97,314
98,Josh Naylor,25,Cleveland Indians,CLE,122,498,449,47,115,28,0,20,79,6,1,38,80,0.256,0.319,0.452,0.771,121,203,13,6,0,5,4,0.4880,98,243
99,Evan Longoria,36,San Francisco Giants,SFG,89,298,266,31,65,13,0,14,42,0,0,27,83,0.244,0.315,0.451,0.767,116,120,6,2,0,3,2,0.4866,99,145
100,Seiya Suzuki,27,Chicago Cubs,CHC,111,446,397,54,104,22,2,14,46,9,5,42,110,0.262,0.336,0.433,0.77,113,172,8,4,0,3,3,0.4865,100,217
101,Kris Bryant,30,Colorado Rockies,COL,42,181,160,28,49,12,0,5,14,0,0,17,27,0.306,0.376,0.475,0.851,128,76,7,2,0,2,0,0.4862,101,88
102,Anthony Santander,27,Baltimore Orioles,BAL,152,647,574,78,138,24,0,33,89,0,2,55,122,0.24,0.318,0.455,0.773,120,261,14,13,0,5,1,0.4853,102,314
103,Jon Berti,32,Miami Marlins,MIA,102,404,358,47,86,17,3,4,28,41,5,42,89,0.24,0.324,0.338,0.662,88,121,6,3,0,1,0,0.4851,103,196
104,Patrick Wisdom,30,Chicago Cubs,CHC,134,534,469,67,97,28,0,25,66,8,4,53,183,0.207,0.298,0.426,0.725,100,200,8,9,1,2,1,0.4850,104,259
105,Max Muncy,31,Los Angeles Dodgers,LAD,136,565,464,69,91,22,1,21,69,2,0,90,141,0.196,0.329,0.384,0.713,100,178,2,5,0,6,1,0.4850,105,274
106,Christian Yelich,30,Milwaukee Brewers,MIL,154,671,575,99,145,25,4,14,57,19,3,88,162,0.252,0.355,0.383,0.738,109,220,9,5,1,2,5,0.4844,106,325
107,Dansby Swanson,28,Atlanta Braves,ATL,162,696,640,99,177,32,1,25,96,18,7,49,182,0.277,0.329,0.447,0.776,114,286,12,3,0,4,0,0.4842,107,337
108,Michael Brantley,35,Houston Astros,HOU,64,277,243,28,70,14,1,5,26,1,1,31,30,0.288,0.37,0.416,0.785,126,101,1,1,1,1,2,0.4838,108,134
109,Mark Canha,33,New York Mets,NYM,140,542,462,71,123,24,0,13,61,3,1,48,97,0.266,0.367,0.403,0.77,122,186,3,28,0,4,1,0.4834,109,262
110,Jorge Polanco,28,Minnesota Twins,MIN,104,445,375,54,88,16,0,16,56,3,3,64,95,0.235,0.346,0.405,0.751,115,152,4,2,0,4,1,0.4831,110,215
111,Marcus Semien,31,Texas Rangers,TEX,161,724,657,101,163,31,5,26,83,25,8,53,120,0.248,0.304,0.429,0.733,106,282,7,4,0,10,0,0.4820,111,349
112,Travis d'Arnaud,33,Atlanta Braves,ATL,107,426,396,61,106,25,1,18,60,0,0,19,90,0.268,0.319,0.472,0.791,117,187,12,11,0,0,0,0.4812,112,205
113,Tommy Edman,27,St. Louis Cardinals,STL,153,630,577,95,153,31,4,13,57,32,3,46,111,0.265,0.324,0.4,0.725,107,231,10,5,1,1,2,0.4810,113,303
114,Cedric Mullins,27,Baltimore Orioles,BAL,156,672,608,89,157,32,4,16,64,34,10,47,126,0.258,0.318,0.403,0.721,107,245,4,9,1,5,2,0.4807,114,323
115,Josh Rojas,28,Arizona Diamondbacks,ARI,125,510,443,66,119,25,1,9,56,23,3,55,98,0.269,0.349,0.391,0.739,110,173,7,2,5,5,2,0.4804,115,245
116,Gleyber Torres,25,New York Yankees,NYY,140,572,526,73,135,28,1,24,76,10,5,39,129,0.257,0.31,0.451,0.761,113,237,12,3,1,3,2,0.4790,116,274
117,José Abreu,35,Chicago White Sox,CHW,157,679,601,85,183,40,0,15,75,0,0,62,110,0.304,0.378,0.446,0.824,134,268,19,12,0,4,2,0.4786,117,325
118,Bobby Witt Jr.,22,Kansas City Royals,KCR,150,632,591,82,150,31,6,20,80,30,7,30,135,0.254,0.294,0.428,0.722,102,253,12,6,0,5,2,0.4778,118,302
119,Bo Bichette,24,Toronto Blue Jays,TOR,159,697,652,91,189,43,1,24,93,13,8,41,155,0.29,0.333,0.469,0.802,128,306,21,2,0,2,0,0.4778,119,333
120,Jack Suwinski,23,Pittsburgh Pirates,PIT,106,372,326,45,66,11,0,19,38,4,2,41,114,0.202,0.298,0.411,0.709,99,134,5,4,0,1,1,0.4758,120,177
121,Salvador Pérez,32,Kansas City Royals,KCR,114,473,445,48,113,23,1,23,76,0,0,18,109,0.254,0.292,0.465,0.757,110,207,9,7,0,3,2,0.4757,121,225
122,Christopher Morel,23,Chicago Cubs,CHC,113,425,379,55,89,19,4,16,47,10,7,38,137,0.235,0.308,0.433,0.741,104,164,6,3,3,2,0,0.4753,122,202
123,Oswaldo Cabrera,23,New York Yankees,NYY,44,171,154,21,38,8,1,6,19,3,2,15,44,0.247,0.312,0.429,0.74,108,66,1,0,1,1,0,0.4737,123,81
124,Justin Turner,37,Los Angeles Dodgers,LAD,128,532,468,61,130,36,0,13,81,3,0,50,89,0.278,0.35,0.438,0.788,120,205,13,6,0,8,1,0.4737,124,252
125,Alex Call,27,Toronto Blue Jays,TOT,47,131,114,18,27,3,1,5,13,3,3,15,30,0.237,0.336,0.412,0.748,115,47,2,2,0,0,0,0.4733,125,62
126,Nolan Gorman,22,St. Louis Cardinals,STL,89,313,283,44,64,13,0,14,35,1,0,28,103,0.226,0.3,0.42,0.721,104,119,2,2,0,0,0,0.4728,126,148
127,Ji Man Choi,31,Tampa Bay Rays,TBR,113,419,356,36,83,22,0,11,52,0,0,58,123,0.233,0.341,0.388,0.729,113,138,3,2,0,3,3,0.4726,127,198
128,Steven Kwan,24,Cleveland Indians,CLE,147,638,563,89,168,25,7,6,52,19,5,62,60,0.298,0.373,0.4,0.772,124,225,9,7,2,4,2,0.4718,128,301
129,Danny Mendick,28,Chicago White Sox,CHW,31,106,97,22,28,4,1,3,15,1,0,7,23,0.289,0.343,0.443,0.786,122,43,2,1,1,0,0,0.4717,129,50
130,Oscar González,24,Cleveland Indians,CLE,91,382,362,39,107,27,0,11,43,1,2,15,75,0.296,0.327,0.461,0.789,125,167,6,3,0,2,2,0.4712,130,180
131,Ryan McMahon,27,Colorado Rockies,COL,153,597,529,67,130,23,3,20,67,7,3,60,158,0.246,0.327,0.414,0.741,98,219,7,5,0,3,0,0.4707,131,281
132,Isaac Paredes,23,Tampa Bay Rays,TBR,111,381,331,48,68,16,0,20,45,0,1,44,67,0.205,0.304,0.435,0.74,113,144,12,4,0,2,0,0.4698,132,179
133,Sean Murphy,27,Oakland Athletics,OAK,148,612,537,67,134,37,2,18,66,1,0,56,124,0.25,0.332,0.426,0.759,122,229,14,13,0,5,2,0.4690,133,287
134,Nico Hoerner,25,Chicago Cubs,CHC,135,517,481,60,135,22,5,10,55,20,2,28,57,0.281,0.327,0.41,0.736,105,197,11,6,0,2,4,0.4681,134,242
135,Wander Franco,21,Tampa Bay Rays,TBR,83,344,314,46,87,20,3,6,33,8,0,26,33,0.277,0.328,0.417,0.746,116,131,5,0,0,4,1,0.4680,135,161
136,Alejandro Kirk,23,Toronto Blue Jays,TOR,139,541,470,59,134,19,0,14,63,0,0,63,58,0.285,0.372,0.415,0.786,127,195,11,4,0,4,2,0.4677,136,253
137,Jake Cronenworth,28,San Diego Padres,SDP,158,684,587,88,140,30,4,17,88,3,0,70,131,0.239,0.332,0.39,0.722,109,229,2,16,0,8,3,0.4664,137,319
138,Franchy Cordero,27,Boston Red Sox,BOS,84,275,242,36,53,17,1,8,29,4,1,28,92,0.219,0.3,0.397,0.697,92,96,1,1,2,2,1,0.4655,138,128
139,J.D. Martinez,34,Boston Red Sox,BOS,139,596,533,76,146,43,1,16,62,0,0,52,145,0.274,0.341,0.448,0.79,117,239,20,5,0,5,1,0.4648,139,277
